Once Caldas;COL;81;Estadio Palogrande;Hernán Herrera;COL;FFFFFF;282D6B;28500
Jesús Camargo;G;VEN;N;28;D;N;Ref;Imp;0
Joan Parra;G;COL;N;26;D;S;Sgo;Fri;0
Juan Gallego;G;COL;N;21;D;N;Col;Fle;0
Andrés Correa;L;COL;N;32;E;N;Mar;Ace;0
Daniel Londoño;L;COL;N;31;E;N;Cru;Agi;0
Efraín Navarro;L;COL;N;27;D;N;Des;For;0
Juan David Cuesta;L;COL;N;28;D;S;Pos;Ace;0
Juan Patiño;L;COL;N;27;E;N;Cru;Res;0
Daniel Marmolejo;Z;COL;N;22;D;N;Mar;Res;0
Jeider Riquett;Z;COL;N;36;E;N;Cab;Vel;0
Jorge Cardona;Z;COL;N;27;D;S;Pos;For;0
Juan Castaño;Z;COL;N;27;D;S;Mar;Res;0
Léyder Morán;Z;COL;N;21;E;N;Des;For;0
Andrés Colorado;V;COL;N;27;D;N;Mar;Con;0
Jaime Alvarado;V;COL;S;27;D;S;Pas;For;0
Andrés Roa;M;COL;N;33;D;N;Pas;Vis;0
Jader Quiñónes;M;COL;N;25;D;S;Dri;Agi;0
Juan Pablo Nieto;M;COL;N;33;D;N;Arm;Fri;0
Edwin Torres;P;COL;N;28;D;N;Dri;Cri;0
John Deiby Araujo;P;COL;N;24;D;N;Cru;Vel;0
Mateo Zuleta;P;COL;N;24;D;S;Fin;Ace;0
Michael Barrios;P;COL;N;35;D;S;Cru;Agi;0
Pipe Gómez;P;COL;N;26;D;S;Pas;Vel;0
Dayro Moreno;A;COL;S;40;D;S;Pas;Imp;0
Jefry Zapata;A;COL;N;26;E;S;Cab;Res;0
