Sunderland;ENG;88;Stadium of Light;Régis Le Bris;FRA;EB172C;FFFFFF;48500
Melker Ellborg;G;SWE;N;23;D;N;Ref;Fle;0
Robin Roefs;G;NLD;N;23;E;S;Ref;Fri;0
Simon Moore;G;ENG;N;36;D;N;Col;Imp;0
Dayann Methalie;L;FRA;N;20;E;N;Pas;For;0
Nordi Mukiele;L;FRA;N;28;D;N;Des;Agi;0
Reinildo Mandava;L;MOZ;N;32;E;S;Des;Agi;0
Thomas Meunier;L;BEL;N;34;D;S;Pas;Res;0
Trai Hume;L;NIR;N;24;D;S;Pas;Agi;0
Aji Alese;Z;ENG;N;25;E;N;Pos;For;0
Dan Ballard;Z;NIR;N;26;D;S;Cab;Imp;0
Kevin Danso;Z;AUT;N;27;D;N;Cab;Vel;0
Luke O'Nien;Z;ENG;N;31;D;S;Mar;Res;0
Omar Alderete;Z;PRY;N;29;E;N;Cab;Imp;0
Granit Xhaka;V;CHE;N;33;E;S;Pas;Vis;0
Jules Ahoka;V;COD;N;20;D;N;Des;For;0
Noah Sadiki;V;COD;N;21;D;S;Mar;Con;0
Alan Browne;M;IRL;N;31;D;N;Pas;Res;0
Chris Rigg;M;ENG;N;19;E;N;Dri;Cri;0
Enzo Le Fée;M;FRA;N;26;D;S;Arm;Agi;0
Habib Diarra;M;SEN;N;22;D;N;Pas;Fri;3
Abdoullah Ba;P;FRA;N;23;D;N;Dri;Res;0
Chemsdine Talbi;P;MAR;N;21;D;N;Cru;Ace;0
Jocelin Ta Bi;P;CIV;N;21;E;N;Pas;Res;0
Nilson Angulo;P;ECU;N;23;D;S;Dri;Vel;0
Romaine Mundle;P;ENG;N;23;D;N;Fin;Cri;0
Simon Adingra;P;CIV;N;24;D;N;Cru;Res;0
Brian Brobbey;A;NLD;N;24;D;S;Cab;Imp;6
Wilson Isidor;A;FRA;N;26;D;N;Fin;Vel;0
