Red Bull Bragantino;BRA;84;Cicero De Souza Marques;Vagner Mancini;BRA;FFFFFF;D8183A;12000
Cleiton;G;BRA;N;28;D;S;Sgo;Con;0
Tiago Volpi;G;BRA;N;35;D;N;Rbo;Fle;0
Agustín Sant'Anna;L;URY;N;28;D;N;Cru;Ace;0
Andrés Hurtado;L;ECU;N;24;D;S;Pas;Agi;0
Juninho Capixaba;L;BRA;N;29;E;S;Pas;Ace;4
Ryan Augusto;L;BRA;N;18;D;N;Cru;Vel;0
Alix;Z;BRA;N;26;D;S;Pos;Imp;0
Eduardo;Z;BRA;N;28;D;N;Des;Imp;0
Gustavo Marques;Z;BRA;N;24;D;S;Cab;Imp;0
Pedro Henrique;Z;BRA;N;30;D;S;Ant;Imp;0
Eric Ramires;V;BRA;N;26;D;N;Des;Res;0
Fabinho;V;BRA;N;24;D;N;Mar;Con;0
Gabriel;V;BRA;N;34;D;S;Pas;Con;0
Ignacio Sosa;V;URY;N;22;D;N;Des;For;0
Matheus Fernandes;V;BRA;N;28;D;N;Des;Agi;0
Bruninho;M;BRA;N;23;D;N;Pas;Res;0
Gustavo Neves;M;BRA;N;22;D;N;Pas;Res;0
João Neto;M;BRA;N;23;D;N;Dri;Agi;0
Praxedes;M;BRA;N;24;E;N;Pas;Vis;0
Rodriguinho;M;BRA;N;22;D;N;Chu;Agi;0
Davi Gomes;P;BRA;N;21;D;N;Dri;Agi;0
Henry Mosquera;P;COL;N;24;D;S;Dri;Agi;0
José Herrera;P;ARG;N;23;E;N;Dri;Ace;0
Lucas Barbosa;P;BRA;N;25;E;S;Pas;Ace;0
Marcelinho Braz;P;BRA;N;21;E;N;Fin;Vel;0
Vinicinho;P;BRA;N;22;D;N;Dri;Ace;0
Eduardo Sasha;A;BRA;N;34;D;S;Cab;For;0
Fernando;A;BRA;N;27;D;N;Fin;Vel;0
Gabriel Novaes;A;BRA;N;27;D;N;Cab;Vel;0
Isidro Pitta;A;PRY;N;26;D;S;Fin;For;6
