Le Puy;FRA;63;Stade Charles-Massot;Stéphane Dief;FRA;213451;69ACDC;4500
Matis Carvalho;G;PRT;N;27;E;S;Ref;Con;0
Théo Ramousse;G;FRA;N;21;D;N;Sgo;Fle;0
Anis Fatahine;L;DZA;N;21;E;S;Cru;Ace;0
Emmanuel Kouassi;L;CIV;N;23;D;S;Pos;For;0
Wesley Zahibo;L;CAF;N;23;E;N;Pas;Vel;0
Yazid Aït Moujane;L;MAR;N;25;D;N;Pas;Agi;0
Edson Seidou;Z;FRA;N;34;E;S;Pos;Con;0
Ismail Cissé;Z;FRA;N;26;E;S;Cab;Imp;0
Mahamadou Dembélé;Z;FRA;N;27;D;N;Ant;Vel;0
Thomas Ghalem;Z;FRA;N;23;D;N;Pos;Res;0
Vinicius Gomes;Z;BRA;N;28;D;S;Des;For;0
Renald Xhemo;V;ALB;N;30;D;S;Mar;For;0
Antoine Gauthier;M;FRA;N;22;D;S;Pas;Agi;0
Ilan Ducourtioux;M;FRA;N;19;D;N;Dri;Cri;0
Lilian Baret;M;FRA;N;20;D;N;Arm;Res;0
Raouf Mroivili;M;COM;N;27;D;N;Pas;Vis;0
Florian Boulet;A;FRA;N;23;D;N;Pas;Fri;0
Josselin Gromat;A;FRA;N;28;D;N;Fin;Imp;0
Julien Jacquat;A;FRA;N;27;D;N;Chu;For;0
Marvin Emmanuel;A;FRA;N;30;D;S;Cab;For;0
Mathis Mazaudier;A;FRA;N;21;D;N;Dri;Vel;0
Michaël Faty;A;FRA;N;29;D;S;Fin;Vel;0
Plamedi Nsingi;A;COD;N;25;D;S;Dri;For;0
