Girona;ESP;77;Montilivi;Quique Álvarez;ESP;FF0000;FFFFFF;14500
Paulo Gazzaniga;G;ARG;N;34;D;S;Ref;Fri;0
Sergi Puig;G;ESP;N;27;D;S;Ref;Con;0
Vladyslav Krapyvtsov;G;UKR;N;21;D;N;Rbo;Con;0
Javier Boñar;L;ESP;N;21;D;N;Cru;Vel;0
Mateu Morey;L;ESP;N;26;D;N;Pas;Agi;0
Álex Moreno;L;ESP;N;33;E;S;Cru;Vel;0
Abdul Mumin;Z;GHA;N;27;D;S;Ant;Vel;0
Alejandro Francés;Z;ESP;N;23;D;S;Ant;Con;0
Azzedine Ounahi;M;MAR;N;26;D;N;Dri;Cri;0
Donny van de Beek;M;NLD;N;29;D;S;Fin;Agi;0
Fran Beltrán;M;ESP;N;27;D;S;Pas;Vis;0
Iván Morante;M;ESP;N;25;E;N;Pas;Vis;0
Izan González;M;ESP;N;21;D;N;Pas;Res;0
Lass Kourouma;M;GIN;N;22;D;N;Pas;Res;0
Unai Hernández;M;ESP;N;21;D;S;Dri;Agi;0
Bryan Gil;P;ESP;N;25;E;S;Dri;Agi;0
Jastin Garcia;P;PRT;N;22;D;N;Dri;Vel;0
Portu;P;ESP;N;34;D;S;Fin;Res;0
Yáser Asprilla;P;COL;N;22;E;N;Dri;Cri;0
Abel Ruiz;A;ESP;N;26;D;N;Pas;Res;0
Dawda Camara;A;MRT;N;23;D;N;Fin;For;0
Oleksandr Pyshchur;A;UKR;N;21;D;N;Cab;Imp;0
Vladyslav Vanat;A;UKR;N;24;E;S;Fin;Fri;0
