Lanús;ARG;80;La Fortaleza;Mauricio Pellegrino;ARG;66202B;FFFFFF;47000
Franco Petroli;G;ARG;N;28;E;N;Sgo;For;0
Nahuel Losada;G;ARG;N;33;D;S;Col;Fri;0
Nicolás Morgantini;L;ARG;N;31;D;N;Cru;For;0
Octavio Ontivero;L;ARG;N;20;E;N;Des;Ace;0
Sasha Marcich;L;ARG;N;28;E;S;Cru;Ace;0
Tomás Guidara;L;ARG;N;30;D;S;Pas;For;0
Carlos Izquierdoz;Z;ARG;N;37;D;S;Cab;Con;0
Facundo Sánchez;Z;ARG;N;20;D;N;Mar;For;0
Gonzalo Pérez;Z;URY;N;25;D;N;Pos;Imp;0
José Canale;Z;PRY;N;30;E;S;Ant;Vel;0
Luciano Romero;Z;ARG;N;20;E;N;Pos;Con;0
Ronaldo Dejesús;Z;PRY;N;25;D;N;Mar;Res;0
Agustín Cardozo;V;ARG;N;29;D;S;Des;Agi;0
Agustín Medina;V;ARG;N;19;D;S;Pas;Vis;0
Peña Biafore;V;ARG;N;25;D;S;Des;Agi;0
Raúl Loaiza;V;COL;N;32;D;N;Mar;Con;0
Franco Watson;M;ARG;N;23;D;N;Pas;Res;0
Marcelino Moreno;M;ARG;N;31;D;S;Dri;Cri;0
Matías Sepúlveda;M;CHL;N;27;E;N;Fin;Res;0
Ramiro Carrera;M;ARG;N;32;D;S;Pas;Agi;0
Dylan Aquino;P;ARG;N;21;D;N;Arm;Cri;0
Eduardo Salvio;P;ARG;N;36;D;S;Pas;Ace;0
Lucas Besozzi;P;ARG;N;23;D;N;Dri;Res;0
Allan Wlk;A;PRY;N;23;D;N;Fin;Imp;0
Yoshan Valois;A;COL;N;21;D;N;Pas;Fri;0
