Agropecuario;ARG;58;Ofelia Rosenzuaig;Gabriel Gómez;ARG;009036;A2060B;8000
Germán Salort;G;ARG;N;37;D;N;Col;Fri;0
Luciano Acosta;G;ARG;N;21;D;S;Ref;Con;0
Danilo Actis;L;ARG;N;23;E;N;Cru;Ace;0
Enzo Aguirre;L;ARG;N;22;D;N;Mar;Agi;0
Federico Pérez;L;ARG;N;21;D;N;Pas;Res;0
Jorge Cabello;L;ARG;N;23;E;N;Pos;Ace;0
Matías Molina;L;ARG;N;31;D;N;Cru;Res;0
Milton Ramos;L;ARG;N;31;E;S;Pas;Agi;0
Alan Aguirre;Z;ARG;N;32;D;S;Mar;Res;0
Alan Pérez;Z;ARG;N;34;D;S;Des;Imp;0
Facundo Sánchez;Z;ARG;N;22;E;S;Cab;For;0
Fernando González;Z;ARG;N;37;E;S;Ant;Con;0
Tomás Lecanda;Z;ARG;N;24;D;N;Des;Vel;0
Damián Lemos;V;ARG;N;37;D;N;Des;For;0
Martín Corda;V;ARG;N;21;E;N;Mar;Res;0
Santiago Gallucci Otero;V;ARG;N;34;D;S;Ant;Con;0
Antonio Napolitano;M;ARG;N;27;D;N;Pas;Vis;0
Braian Aranda;M;ARG;N;22;D;N;Arm;Fri;0
Braian Rojas;M;ARG;N;21;E;N;Chu;Agi;0
Jorge Valdez Chamorro;M;ARG;N;31;D;N;Pas;Res;0
Juan Cruz Vega;M;ARG;N;27;D;N;Fin;Agi;0
Rodrigo Castro;M;ARG;N;32;E;S;Arm;Cri;0
Carlos Auzqui;P;ARG;N;34;D;N;Cru;Ace;0
Danilo Ruiz Díaz;P;ARG;N;22;A;N;Dri;Res;0
Diego Vásquez;P;ARG;N;25;A;N;Pas;Cri;0
Alejandro Gagliardi;A;ARG;N;36;D;S;Cab;For;0
Brian Blando;A;ARG;N;30;D;S;Pas;Res;0
Lorenzo Barrera;A;ARG;N;23;D;N;Fin;Imp;0
Oscar Belinetz;A;ARG;N;32;D;N;Pas;For;0
Rodrigo Mosqueira;A;ARG;N;30;E;S;Chu;Vel;0
