Lens;FRA;90;Stade Bollaert-Delelis;Dino Toppmöller;DEU;FFDF00;F50505;37500
Ilan Jourdren;G;FRA;N;18;D;N;Col;Con;0
Mathieu Gorgelin;G;FRA;N;36;E;N;Col;Imp;0
Robin Risser;G;FRA;N;21;D;S;Ref;Fri;0
Régis Gurtner;G;FRA;N;39;D;N;Sgo;For;0
Jhoanner Chávez;L;ECU;N;24;E;N;Cru;Res;0
Matthieu Udol;L;FRA;N;30;E;S;Pas;For;0
Ruben Aguilar;L;FRA;N;33;D;N;Cru;Res;0
Saud Abdulhamid;L;SAU;N;27;D;S;Des;Vel;0
Ismaëlo Ganiou;Z;BFA;N;21;D;S;Des;For;0
Jean-Clair Todibo;Z;FRA;N;26;D;N;Des;Con;0
Jonathan Gradit;Z;FRA;N;33;D;N;Des;Con;0
Kyllian Antonio;Z;FRA;N;18;D;N;Pos;For;0
Maik Nawrocki;Z;POL;N;25;D;S;Mar;Res;0
Nidal Celik;Z;BIH;N;20;D;N;Cab;Vel;0
Samson Baidoo;Z;AUT;N;22;D;N;Cab;For;0
Souleymane Sagnan;Z;MLI;N;21;E;S;Pos;Con;0
Amadou Haidara;M;MLI;N;28;D;N;Chu;Cri;0
Andrija Bulatovic;M;MNE;N;19;D;N;Chu;Agi;0
Mezian Mesloub;M;PRT;N;16;E;N;Pas;Agi;0
Michaël Cuisance;M;FRA;N;27;E;S;Fin;Res;0
Thorgan Hazard;M;BEL;N;33;D;N;Fin;Cri;0
Yacine Titraoui;M;DZA;N;23;D;S;Pas;Vis;0
Abdallah Sima;P;SEN;N;25;D;S;Dri;Ace;0
Florian Thauvin;P;FRA;N;33;E;S;Dri;Cri;0
Junior Kadile;P;FRA;N;23;D;N;Dri;Vel;0
Michal Skoras;P;POL;N;26;D;N;Arm;Vel;0
Florian Sotoca;A;FRA;N;35;D;N;Cab;For;0
Franjo Ivanović;A;HRV;N;22;D;S;Cab;For;0
Odsonne Édouard;A;FRA;N;28;D;N;Cab;Vel;0
