Montpellier;FRA;73;Stade de la Mosson;Zoumana Camara;FRA;344575;D87043;32500
Kevin Kamdem;G;CMR;N;20;D;N;Ref;Fle;0
Mathieu Michel;G;FRA;N;34;D;N;Ref;Con;0
Simon Ngapandouetnbu;G;CMR;N;23;D;S;Sgo;For;0
Viktor Dzodic;G;SRB;N;19;D;N;Col;Fle;0
Alpha Sissoko;L;FRA;N;28;D;S;Mar;Res;0
Naoufel El Hannach;L;MAR;N;19;D;S;Pos;Vel;0
Théo Sainte-Luce;L;FRA;N;27;E;S;Pos;For;0
Wilfried Ndollo Bille;L;CMR;N;21;D;N;Cru;Ace;0
Daylam Meddah;Z;FRA;N;23;D;N;Mar;Con;0
Julien Laporte;Z;FRA;N;32;D;S;Des;For;0
Yaël Mouanga;Z;FRA;N;21;D;S;Cab;Res;0
Everson Jr;V;FRA;N;22;D;S;Mar;For;0
Florian Tardieu;M;FRA;N;34;D;N;Pas;Fri;0
Grégory Ayem;M;FRA;N;20;D;N;Fin;Cri;0
Nabil Homssa;M;FRA;N;24;D;N;Dri;Fri;0
Théo Chennahi;M;FRA;N;21;D;S;Pas;Vis;0
Axel Guéguin;P;FRA;N;21;E;S;Cru;Agi;0
Jérémy Hatchi;P;GLP;N;21;D;N;Arm;Ace;0
Mamadou Camara;P;MLI;N;25;D;N;Cru;Agi;0
Nicolas Pays;P;FRA;N;23;E;S;Arm;Agi;0
Nordan Mukiele;P;FRA;N;20;D;N;Dri;Ace;0
Daryll Benlahlou;A;DZA;N;20;D;N;Dri;Vel;0
Junior Ndiaye;A;ARE;N;21;E;N;Fin;For;0
Lacine Megnan-Pave;A;FRA;N;16;D;N;Fin;Vel;0
Yanis Issoufou;A;FRA;N;19;E;S;Cab;For;0
