Elche;ESP;83;Martínez Valero;Martín Anselmi;ARG;FFFFFF;00CC33;31000
Alejandro Iturbe;G;ESP;N;22;D;N;Ref;Fle;0
Matías Dituro;G;ARG;N;39;D;S;Col;For;0
Buba Sangaré;L;ESP;N;18;D;N;Des;Ace;0
Roy Revivo;L;ISR;N;23;E;S;Cru;Vel;0
Rubén Sánchez;L;ESP;N;25;D;N;Des;Agi;0
Bambo Diaby;Z;ESP;N;28;D;N;Des;Vel;0
David Affengruber;Z;AUT;N;25;D;S;Cab;For;0
Matia Barzic;Z;HRV;N;22;D;N;Pos;Con;0
Pedro Bigas;Z;ESP;N;36;E;S;Ant;Con;0
Víctor Chust;Z;ESP;N;26;A;S;Pos;Con;0
Federico Redondo;V;ARG;N;23;D;N;Pas;Vis;0
Marc Aguado;V;ESP;N;26;D;S;Pas;Con;0
Facundo Buonanotte;M;ARG;N;21;E;N;Pas;Agi;0
Gonzalo Villar;M;ESP;N;28;D;N;Dri;Agi;0
Javi Morcillo;M;ESP;N;20;D;S;Pas;Agi;0
Martim Neto;M;PRT;N;23;D;S;Pas;Res;0
Germán Valera;P;ESP;N;24;E;S;Dri;Ace;0
Grady Diangana;P;COD;N;28;E;S;Dri;Vel;0
Lucas Cepeda;P;CHL;N;23;E;N;Cru;Vel;0
Rafa Núñez;P;DOM;N;24;D;N;Dri;Vel;0
Tete Morente;P;ESP;N;29;D;N;Arm;Res;0
Yago Santiago;P;ESP;N;23;D;S;Dri;Ace;0
Abiel Osorio;A;ARG;N;24;D;N;Cab;Res;0
Adam Boayar;A;MAR;N;20;D;N;Dri;Vel;0
Ali Houary;A;MAR;N;20;D;N;Pas;Res;0
Ezequiel Ponce;A;ARG;N;29;D;N;Fin;For;0
Fer Niño;A;ESP;N;25;D;N;Fin;For;0
