Real Zaragoza;ESP;66;Ibercaja Estadio;Ibai Gómez;ESP;FFFFFF;0000FF;20000
Anartz Peña;G;ESP;N;25;D;S;Col;Con;0
Sem Westerveld;G;NLD;N;24;D;N;Ref;Fle;0
Jokin Gabilondo;L;ESP;N;27;D;S;Cru;Res;0
Marco Sangalli;L;ESP;N;34;D;N;Pas;For;0
Raúl Pereira;L;ESP;N;21;D;S;Des;Ace;0
Rubén Iranzo;L;ESP;N;23;D;N;Des;For;0
Sergio Escudero;L;ESP;N;36;E;S;Pas;Vel;0
Diego González;Z;ESP;N;27;E;S;Cab;Imp;0
Hugo Barrachina;Z;ESP;N;19;E;N;Pos;Con;0
Tachi;Z;ESP;N;28;D;S;Des;For;0
Ander Herrera;M;ESP;N;37;D;S;Pas;Vis;0
Hugo Pinilla;M;ESP;N;20;D;N;Dri;Agi;0
Lucas Terrer;M;ESP;N;21;D;N;Pas;Agi;0
Peter Ademo;M;NGA;N;23;E;N;Arm;Agi;0
Rubén Díez;M;ESP;N;33;D;S;Arm;Vis;0
Yussif Saidu;M;GHA;N;21;D;S;Pas;Agi;0
Iker Vadillo;P;ESP;N;20;D;N;Dri;Vel;0
Jaume Jardí;P;ESP;N;24;D;N;Pas;Agi;0
Marcos Cuenca;P;ESP;N;23;D;S;Dri;Ace;0
Pau Sans;P;ESP;N;21;D;N;Fin;Ace;0
Óscar Ureña;P;DOM;N;23;D;N;Dri;Vel;0
Edu Espiau;A;ESP;N;31;D;S;Fin;For;0
Joaquín Delgado;A;ESP;N;24;D;N;Pas;For;0
