Estrela Amadora;PRT;77;José Gomes;Pepa;PRT;F21111;FFFFFF;9000
David Grilo;G;PRT;N;30;D;S;Ref;Imp;0
Diogo Pinto;G;PRT;N;22;D;N;Rbo;Con;0
Léo Linck;G;BRA;N;25;D;N;Col;For;0
Jefferson Encada;L;GNB;N;28;D;S;Cru;Res;0
Lucas Mincarelli;L;FRA;N;22;E;N;Des;Res;0
Max Scholze;L;DEU;N;21;D;N;Pos;For;0
Rafa Soares;L;PRT;N;31;E;N;Cru;Vel;0
Atanas Chernev;Z;BGR;N;24;D;S;Mar;For;0
Bernardo Schappo;Z;BRA;N;27;E;S;Cab;Imp;0
Luan Patrick;Z;BRA;N;24;D;S;Pos;For;0
Stefan Lekovic;Z;SRB;N;22;D;S;Cab;Imp;0
Eddy Doué;V;CIV;N;20;D;S;Des;Res;0
Kevin Höög Jansson;V;SWE;N;25;E;S;Mar;For;0
Santiago Serra;V;PRT;N;19;E;N;Pas;Res;0
Joan Jordán;M;ESP;N;32;D;N;Pas;Vis;0
Lovro Zvonarek;M;HRV;N;21;D;N;Arm;Agi;0
Robinho;M;BRA;N;24;D;S;Pas;Res;0
Tom Moustier;M;FRA;N;24;D;N;Pas;Agi;0
Abraham Marcus;P;NGA;N;26;E;S;Arm;Cri;0
Alisson Souza;P;BRA;N;21;D;N;Dri;Ace;0
Bénito;P;FRA;N;22;A;N;Fin;Cri;0
Ianis Stoica;P;ROU;N;23;D;S;Dri;Cri;0
Leandro Antonetti;A;PRI;N;23;E;N;Pas;For;0
Sydney van Hooijdonk;A;NLD;N;26;D;N;Fin;Imp;0
