Alemannia Aachen;DEU;67;Tivoli;Mersad Selimbegovic;BIH;EFDC15;000000;32500
Manuel Riemann;G;DEU;N;37;D;N;Sgo;Fri;0
Stefan Bajic;G;FRA;N;24;D;S;Rbo;For;0
Tom Hendriks;G;NLD;N;24;D;N;Col;Fle;0
Fabio Torsiello;L;DEU;N;21;D;S;Pas;Agi;0
Kacper Koscierski;L;DEU;N;19;D;N;Pas;Vel;0
Lukas Scepanik;L;DEU;N;32;E;S;Cru;Res;0
Matti Wagner;L;DEU;N;21;E;N;Pos;Ace;0
Dylan Leonard;Z;AUS;N;18;D;N;Mar;Vel;0
Gideon Jung;Z;DEU;N;31;D;N;Mar;Con;0
Joel da Silva Kiala;Z;AGO;N;22;A;S;Pos;Vel;0
Marius Wegmann;Z;DEU;N;27;D;N;Cab;Con;0
Mika Hanraths;Z;DEU;N;27;D;S;Des;For;0
Petros Bagkalianis;Z;GRC;N;25;A;S;Ant;Imp;0
Danilo Wiebe;V;DEU;N;32;D;S;Mar;Con;0
Jonas Oehmichen;M;DEU;N;22;D;N;Arm;Agi;0
Louis Köster;M;DEU;N;23;D;S;Arm;Cri;0
Mehdi Loune;M;DEU;N;22;D;S;Pas;Agi;0
Meiko Wäschenbach;M;DEU;N;22;D;N;Fin;Res;0
Mika Pobric;M;DEU;N;19;D;N;Pas;Vis;0
Nathan Bitumazala;M;FRA;N;23;D;N;Dri;Res;0
Justin von der Hitz;P;DEU;N;19;D;N;Dri;Vel;0
Daniel Starodid;A;DEU;N;22;D;S;Fin;Vel;0
Georg Ermolaev;A;DEU;N;20;D;N;Pas;Vel;0
Ken Izekor;A;DEU;N;19;E;N;Dri;Vel;0
Mika Schroers;A;DEU;N;24;A;S;Dri;Res;0
Valmir Sulejmani;A;XKX;N;30;E;N;Pas;For;0
