Nuremberg;DEU;75;Max-Morlock-Stadion;Miroslav Klose;DEU;990000;FFFFFF;49500
Christian Mathenia;G;DEU;N;34;D;N;Sgo;For;0
Jan Reichert;G;DEU;N;25;D;S;Rbo;Fle;0
Nicolas Ortegel;G;DEU;N;22;D;N;Sgo;Con;0
Robin Lisewski;G;POL;N;20;D;N;Ref;Fle;0
Andrea Ceresoli;L;ITA;N;23;E;N;Cru;Res;0
Eric Porstner;L;DEU;N;19;E;N;Pas;Ace;0
Giannis Masouras;L;GRC;N;29;D;N;Cru;Vel;0
Tim Janisch;L;DEU;N;20;D;S;Cru;Vel;0
Alexios Kalogeropoulos;Z;GRC;N;21;A;N;Des;For;0
Fynn Otto;Z;DEU;N;24;A;S;Ant;Con;0
Kristian Mandic;Z;HRV;N;18;E;N;Ant;For;0
Mikayil Faye;Z;SEN;N;22;E;N;Des;For;0
Styopa Mkrtchyan;Z;ARM;N;23;E;N;Mar;Res;0
Adam Markhiev;V;FIN;N;24;D;S;Chu;Vis;0
Winners Osawe;V;DEU;N;19;D;N;Des;For;0
Finn Becker;M;DEU;N;26;E;S;Arm;Cri;0
Javier Fernández;M;ESP;N;19;A;N;Chu;Cri;0
Julian Justvan;M;DEU;N;28;E;S;Dri;Agi;0
Marko Soldic;M;DEU;N;16;D;N;Fin;Agi;0
Rafael Lubach;M;DEU;N;21;D;S;Chu;Vis;0
Can Moustfa;P;SYR;N;21;A;N;Dri;Ace;0
Rayan Ghrieb;P;FRA;N;27;E;S;Cru;Vel;0
Adriano Grimaldi;A;DEU;N;35;D;S;Fin;Fri;0
Mohamed Alì Zoma;A;ITA;N;22;D;S;Dri;Vel;0
Piet Scobel;A;DEU;N;21;A;S;Chu;Imp;0
Sigurd Haugen;A;NOR;N;29;D;N;Fin;Res;0
