Swansea City;ENG;78;Swansea.com Stadium;Vítor Matos;PRT;000000;FAF7F7;21000
Andy Fisher;G;ENG;N;28;D;N;Rbo;Fle;0
Lawrence Vigouroux;G;CHL;N;32;E;S;Sgo;Fle;0
Paul Farman;G;ENG;N;36;D;N;Col;Con;0
Filip Lissah;L;CZE;N;21;D;S;Des;For;0
Josh Key;L;ENG;N;26;D;N;Pas;Agi;0
Josh Tymon;L;ENG;N;27;E;S;Cru;Res;0
Tiago Parente;L;PRT;N;20;E;N;Des;Agi;0
Ben Cabango;Z;WLS;N;26;D;S;Des;Con;0
Cameron Burgess;Z;AUS;N;30;E;N;Cab;Imp;0
Jenson Seelt;Z;NLD;N;23;D;N;Pos;Res;0
Stephen Welsh;Z;SCT;N;26;D;S;Des;Con;0
Ben Lloyd;M;WLS;N;21;E;N;Chu;Res;0
Elijah Just;M;NZL;N;26;E;S;Dri;Cri;0
Gonçalo Franco;M;PRT;N;25;D;N;Arm;Res;0
Jay Fulton;M;SCT;N;32;D;S;Pas;Res;0
Marko Stamenić;M;NZL;N;24;D;S;Pas;Res;0
Melker Widell;M;SWE;N;24;D;N;Chu;Agi;0
Stephen Eustaquio;M;CAN;N;29;D;N;Pas;Vis;0
Tom Iorpenda;M;ENG;N;21;D;N;Arm;Vis;0
Ji-sung Eom;P;KOR;N;24;D;N;Cru;Cri;0
Joseph Opoku;P;GHA;N;21;D;S;Arm;Cri;0
Moussa Yeo;P;MLI;N;22;D;S;Dri;Agi;0
Ronald;P;BRA;N;25;D;N;Dri;Res;0
Zeidane Inoussa;P;SWE;N;24;D;N;Dri;Agi;0
Adam Idah;A;IRL;N;25;D;S;Fin;Imp;0
Ross Stewart;A;SCT;N;30;D;N;Cab;For;0
Žan Vipotnik;A;SVN;N;24;A;N;Fin;Fri;0
