Central Español;URY;76;Parque Palermo;Diego Osella;ARG;D70000;FFFFFF;4000
Rodolfo;G;BRA;N;35;E;S;Ref;For;0
Samuel Rodríguez;G;URY;N;20;D;N;Rbo;Fle;0
César Nunes;L;BRA;N;26;E;S;Des;Vel;0
Juan Ignacio Dupont;L;URY;N;21;E;N;Cru;Ace;0
Lautaro Gandulfo;L;URY;N;22;E;N;Pas;Vel;0
Luciano Fernández;L;URY;N;24;D;S;Cru;For;0
Mateo Cantera;L;URY;N;25;D;N;Pos;For;0
Sander Navarro;L;COL;N;22;D;N;Cru;Vel;0
Alejandro Villoldo;Z;URY;N;36;E;S;Des;For;0
Ernesto Aramburú;Z;URY;N;27;D;N;Mar;Vel;0
Ignacio Rodríguez;Z;URY;N;22;D;S;Ant;Vel;0
Logan Ponce;Z;URY;N;24;D;N;Pos;Vel;0
Mateo Urrutia;Z;URY;N;22;D;N;Des;Res;0
Matías González;Z;URY;N;23;D;N;Mar;Res;0
Guillermo Gandolfo;V;URY;N;23;D;S;Pas;For;0
Isaac Méndez;V;URY;N;25;D;N;Chu;Vis;0
Juber Pereira;V;URY;N;23;D;N;Ant;Con;0
Marcos Montiel;V;URY;N;30;D;S;Mar;Con;0
Facundo Yocco;M;URY;N;25;E;N;Chu;Agi;0
Franco Muñoz;M;URY;N;27;D;S;Fin;Agi;0
Lucas Pino;M;URY;N;20;D;N;Pas;Agi;0
Sebastián Sánchez;M;ARG;N;24;D;N;Pas;Agi;0
Exequiel Mereles;P;URY;N;20;D;N;Dri;Vel;0
Fernando Camarda;P;URY;N;22;D;N;Dri;Vel;0
Mariano Aguilera;P;ARG;N;22;D;S;Pas;Vel;0
Máximo Alonso;P;URY;N;23;E;S;Dri;Vel;0
Facundo Sosa;A;URY;N;23;D;N;Fin;Vel;0
Ignacio Gonella;A;URY;N;21;E;N;Chu;Vel;0
Raúl Tarragona;A;URY;N;39;D;S;Pas;Fri;0
Rodrigo Muniz;A;URY;N;24;E;N;Dri;Vel;0
