Independiente Medellín;COL;82;Atanasio Girardot;Luis Amaranto Perea;COL;F72330;00274B;45500
Eder Chaux;G;COL;N;34;D;N;Ref;For;0
Salvador Ichazo;G;URY;N;34;E;S;Ref;Con;0
Esneyder Mena;L;COL;N;28;D;S;Des;Vel;0
Frank Fabra;L;COL;N;35;E;S;Pas;For;0
Hayen Palacios;L;COL;N;26;D;S;Cru;Ace;0
Jhan Mena;L;COL;N;20;E;N;Pos;Vel;0
Alfonso Simarra;Z;COL;N;26;E;N;Mar;Vel;0
Joaquín Varela;Z;URY;N;28;E;N;Pos;Res;0
Kevin Mantilla;Z;COL;N;23;D;S;Des;Con;0
Luis Escorcia;Z;COL;N;22;D;N;Cab;For;0
Didier Moreno;V;COL;N;34;D;S;Mar;Res;0
Diego Moreno;V;COL;N;30;D;N;Pas;Vis;0
Halam Loboa;V;COL;N;20;D;S;Ant;For;0
Agustín Martegani;M;ARG;N;26;E;N;Chu;Cri;0
Alexis Serna;M;COL;N;28;D;S;Dri;Fri;0
Baldomero Perlaza;M;COL;N;34;D;N;Fin;Res;0
Daniel Cataño;M;COL;N;34;D;S;Pas;Vis;0
Juan Quintero;M;COL;S;33;E;N;Arm;Cri;0
Léider Berrío;M;COL;N;28;D;N;Pas;Fri;0
Gerónimo Mancilla;P;COL;N;17;D;N;Cru;Ace;0
John Montaño;P;COL;S;19;D;S;Fin;Res;0
Juan Córdoba;P;COL;N;23;E;N;Dri;Ace;0
Yony González;P;COL;N;32;D;S;Arm;Vel;0
Carlos Lucumí;A;COL;N;26;D;N;Pas;Imp;0
Enzo Larrosa;A;URY;N;25;E;N;Cab;For;0
Jeison Medina;A;COL;N;31;D;N;Fin;Res;0
