Gil Vicente;PRT;81;Cidade de Barcelos;Luís Pinto;PRT;FF0000;FFFFFF;12000
Lucão;G;BRA;N;25;D;S;Sgo;For;0
Samuel Portugal;G;BRA;N;32;D;N;Ref;Fle;0
Ghislain Konan;L;CIV;N;30;E;S;Cru;For;0
José Silva;L;PRT;N;20;D;N;Pos;Agi;0
Ricardo Esgaio;L;PRT;N;33;D;N;Mar;Agi;0
Weverson;L;BRA;N;26;E;N;Pas;For;0
Antonio Espigares;Z;ESP;N;21;D;N;Cab;Imp;0
Arthur Tchaptchet;Z;FRA;N;20;D;N;Cab;For;0
Buatu;Z;AGO;N;32;D;S;Mar;Con;0
David Moreira;Z;CPV;N;22;E;S;Pos;Con;0
Marvin Elimbi;Z;FRA;N;23;D;S;Des;For;0
Mohamed Bamba;V;CIV;N;21;E;S;Des;Vis;0
Andreas Lausen;M;DNK;N;23;D;N;Pas;Vis;0
Diogo Prioste;M;PRT;N;22;D;S;Pas;Vis;0
Facundo Cáseres;M;ARG;N;25;D;S;Pas;Agi;0
Gil Martins;M;PRT;N;20;D;N;Arm;Vis;0
Gonçalo Maia;M;PRT;N;20;D;N;Pas;Agi;0
Martín Fernández;M;URY;N;23;E;N;Pas;Res;0
Santi García;M;ESP;N;24;D;S;Chu;Cri;0
Zé Carlos;M;PRT;N;24;D;N;Arm;Vis;0
Agustín Moreira;P;URY;N;25;D;N;Pas;Res;0
Bassco Soyer;P;PER;N;19;D;N;Fin;Cri;0
Joelson Fernandes;P;PRT;N;23;D;S;Dri;Agi;0
Murilo;P;BRA;N;31;E;S;Cru;Cri;0
Sergio Bermejo;P;ESP;N;28;E;N;Pas;Vel;0
Tidjany Touré;P;FRA;N;24;D;N;Dri;Ace;0
Carlos Eduardo;A;BRA;N;23;E;N;Fin;Imp;0
Héctor Hernández;A;ESP;N;30;D;N;Fin;Fri;0
Walace França;A;BRA;N;20;E;N;Fin;For;0
