Southampton;ENG;81;St Mary's Stadium;Tonda Eckert;DEU;ED1338;FCFCFC;32000
Aaron Ramsdale;G;ENG;N;28;D;N;Sgo;Con;0
Daniel Peretz;G;ISR;N;26;D;N;Ref;Con;0
Gavin Bazunu;G;IRL;N;24;D;N;Ref;Fle;0
George Long;G;ENG;N;32;E;S;Ref;Fle;0
James Bree;L;ENG;N;28;D;N;Cru;Res;0
Juan Larios;L;ESP;N;22;E;N;Pas;Agi;0
Mads Roerslev;L;DNK;N;27;D;N;Des;Res;0
Ryan Manning;L;IRL;N;30;E;S;Cru;Res;0
Welington;L;BRA;N;25;E;N;Des;Res;0
Jack Stephens;Z;ENG;N;32;D;S;Pos;Con;0
Joachim Kayi Sanda;Z;FRA;N;19;D;N;Pos;Con;0
Keven Schlotterbeck;Z;DEU;N;29;E;N;Pos;Imp;0
Nathan Wood;Z;ENG;N;24;D;S;Cab;For;0
Zach Abbott;Z;ENG;N;20;D;N;Mar;Res;0
Flynn Downes;V;ENG;N;27;D;S;Pas;For;0
Ward-Prowse;V;ENG;N;31;D;N;Pas;Vis;2
Cameron Bragg;M;SCT;N;21;D;N;Pas;Vis;0
Caspar Jander;M;DEU;N;23;D;S;Pas;Res;0
Finn Azaz;M;IRL;N;25;D;S;Arm;Vis;0
Kuryu Matsuki;M;JPN;N;23;E;N;Fin;Agi;0
Léo Scienza;M;BRA;N;27;A;S;Dri;Cri;0
Tom Fellows;M;ENG;N;22;D;S;Arm;Cri;0
Lewis Dobbin;P;ENG;N;23;D;S;Fin;Res;0
Samuel Edozie;P;ENG;N;23;D;N;Dri;Vel;0
Brereton Díaz;A;CHL;N;27;D;N;Fin;For;0
Cyle Larin;A;CAN;N;31;D;N;Fin;Fri;0
Damion Downs;A;USA;N;22;D;N;Fin;Fri;0
Divin Mubama;A;ENG;N;21;E;S;Fin;For;0
