Spartak Moscow;RUS;82;Lukoil Arena;Juan Carlos Carcedo;ESP;C9142C;FFFFFF;44500
Aleksandr Dovbnya;G;RUS;N;39;D;N;Sgo;Fle;0
Aleksandr Maksimenko;G;RUS;N;28;E;S;Rbo;For;0
Ilya Pomazun;G;RUS;N;30;D;N;Ref;For;0
Daniil Denisov;L;RUS;N;23;D;N;Pos;Vel;0
Daniil Khlusevich;L;RUS;N;25;D;N;Mar;Vel;0
Victor Parada;L;ESP;N;24;E;N;Cru;Ace;0
Alexander Djiku;Z;GHA;N;32;D;N;Des;For;0
Christopher Wooh;Z;CMR;N;24;D;S;Mar;Vel;0
Ruslan Litvinov;Z;RUS;N;25;D;S;Pos;Imp;0
Srdjan Babic;Z;SRB;N;30;E;S;Cab;For;0
Christopher Martins;V;LUX;N;29;D;N;Chu;For;0
Nail Umyarov;V;RUS;N;26;D;S;Mar;Con;0
Daniil Zorin;M;RUS;N;22;D;N;Pas;Fri;0
Danil Prutsev;M;RUS;N;26;D;N;Pas;Cri;0
Esequiel Barco;M;ARG;N;27;D;S;Pas;Fri;5
Gedson Fernandes;M;PRT;S;27;D;S;Chu;Vis;0
Roman Zobnin;M;RUS;N;32;D;S;Pas;Agi;0
Vladislav Saus;M;RUS;N;23;D;N;Pas;Res;0
Anton Zinkovskiy;P;RUS;N;30;D;N;Dri;Vel;0
Igor Dmitriev;P;RUS;N;22;E;N;Arm;Vel;0
Marquinhos;P;BRA;N;26;D;S;Pas;Ace;0
Nikita Massalyga;P;RUS;N;18;E;N;Dri;Agi;0
Pablo Solari;P;ARG;N;25;D;S;Cru;Agi;5
Pavel Polekh;P;RUS;N;16;D;N;Pas;Cri;0
Manfred Ugalde;A;CRI;N;24;D;S;Fin;Fri;6
Mirlind Daku;A;ALB;N;28;D;N;Cab;Imp;0
