Gaziantep;TUR;76;Gaziantep Stadyumu;Mirel Rădoi;ROU;DA291C;000000;30000
Cemilhan Aslan;G;TUR;N;18;D;N;Ref;Fle;0
Kacper Tobiasz;G;POL;N;23;E;S;Sgo;For;0
Deian Sorescu;L;ROU;N;28;D;S;Pas;Vel;0
Florin Ștefan;L;ROU;N;30;E;S;Mar;Res;0
Kerim Calhanoglu;L;DEU;N;23;E;N;Pos;Agi;0
Luis Pérez;L;ESP;N;31;D;S;Cru;For;0
Sabahattin Destici;L;TUR;N;26;D;N;Pas;Res;0
Arda Kızıldağ;Z;TUR;N;27;D;N;Cab;Con;0
Myenty Abena;Z;SUR;N;31;D;S;Mar;For;0
Nazım Sangaré;Z;TUR;N;32;D;N;Mar;Res;0
Ogün Özçiçek;V;TUR;N;27;D;N;Chu;For;0
Ulrich Meleke;V;CIV;N;27;D;S;Des;Con;0
Alexandru Maxim;M;ROU;N;36;D;S;Chu;Fri;0
Burak Enes Yıkıcı;M;TUR;N;22;D;N;Dri;Vis;0
Drissa Camara;M;CIV;N;24;D;S;Fin;Res;0
Juninho Bacuna;M;CUW;N;29;D;S;Chu;Vis;0
Kacper Kozłowski;M;POL;N;22;D;S;Fin;Agi;0
Karamba Gassama;M;GMB;N;21;D;N;Pas;Agi;0
Victor Gidado;M;NGA;N;22;D;N;Dri;Vis;0
Ali Mevran Ablak;P;TUR;N;23;D;N;Cru;Agi;0
Ali Osman Kalın;P;TUR;N;18;D;N;Dri;Vel;0
Enver Kulasin;P;BIH;N;22;D;N;Pas;Agi;0
Mirza Cihan;P;TUR;N;25;D;N;Dri;Vel;0
Sontje Hansen;P;CUW;N;24;D;N;Dri;Ace;0
Fuat Bavuk;A;TUR;N;26;D;N;Chu;Vel;0
Halil Dervişoğlu;A;TUR;N;26;D;N;Fin;Fri;0
Kadir Gümüş;A;TUR;N;22;D;N;Cab;Vel;0
Muhammet Akmelek;A;TUR;N;17;D;N;Chu;Imp;0
Serdar Dursun;A;TUR;N;34;D;N;Fin;Fri;0
Trivante Stewart;A;JAM;N;26;D;S;Cab;Imp;0
