Juventude;BRA;73;Alfredo Jaconi;Maurício Barbieri;BRA;108F4F;FFFFFF;19500
Jandrei;G;BRA;N;33;D;S;Ref;Con;0
Pedro Rocha;G;BRA;N;28;D;N;Ref;Fle;0
Aderlan;L;BRA;N;36;D;N;Des;Agi;0
Alan Ruschel;L;BRA;N;36;E;N;Pos;Agi;0
Diogo Barbosa;L;BRA;N;34;E;N;Cru;Vel;0
Nathan;L;BRA;N;24;D;N;Des;For;0
Patryck;L;BRA;N;23;E;N;Cru;Ace;0
Raí Ramos;L;BRA;N;32;D;S;Cru;Vel;0
Wadson;L;BRA;N;25;E;N;Des;Vel;0
Gabriel Pinheiro;Z;BRA;N;29;D;S;Des;For;0
Marcos Paulo;Z;BRA;N;23;E;S;Pos;Vel;0
Messias;Z;BRA;N;31;D;S;Cab;Con;0
Rodrigo Sam;Z;BRA;N;31;D;S;Cab;For;0
Titi;Z;BRA;N;38;E;N;Pos;Con;0
Davi Góes;V;BRA;N;21;E;N;Pas;Vis;0
Gabriel Pires;V;BRA;N;32;E;N;Pas;Vis;0
Iba Ly;V;SEN;N;23;D;N;Des;Agi;0
Luan Martins;V;BRA;N;27;D;N;Mar;For;0
Lucas Mineiro;V;BRA;N;30;E;S;Pas;For;0
Mandaca;M;BRA;N;24;D;S;Fin;Agi;0
Pablo Roberto;M;BRA;N;26;D;N;Pas;Vis;0
Ray Breno;M;BRA;N;21;D;N;Fin;Vis;0
Raí;M;BRA;N;24;E;S;Pas;Agi;0
Allanzinho;P;BRA;N;26;D;N;Dri;Agi;0
Ari Moura;P;BRA;N;30;A;N;Fin;Agi;0
Fábio Lima;P;BRA;N;29;E;N;Cru;Vel;0
Manuel Castro;P;URY;N;30;D;N;Arm;Agi;0
Marcos Paulo;P;PRT;N;25;D;S;Fin;Cri;0
Alan Kardec;A;BRA;N;37;D;N;Cab;Imp;0
Alisson Safira;A;BRA;N;31;D;S;Fin;For;0
