Fatih Karagümrük;TUR;66;Atatürk Olimpiyat;Aleksandar Stanojevic;SRB;DA291C;000000;77500
Batuhan Şen;G;TUR;N;27;D;N;Sgo;For;0
Berke Can Evli;G;TUR;N;17;D;N;Col;Con;0
Marco Silvestri;G;ITA;N;35;D;S;Rbo;Fri;0
Muhammed Sarıkaya;L;TUR;N;24;D;S;Cru;For;0
Ramazan Civelek;L;TUR;N;30;D;S;Cru;Ace;0
Çağtay Kurukalıp;L;TUR;N;24;E;S;Pas;Vel;0
Anıl Yiğit Çınar;Z;TUR;N;23;E;N;Des;Res;0
Atınç Nukan;Z;TUR;N;33;E;N;Mar;For;0
Burhan Ersoy;Z;TUR;N;23;D;N;Ant;Vel;0
Davide Biraschi;Z;ITA;N;32;D;S;Cab;Res;0
Muhammed Kadıoğlu;Z;TUR;N;19;D;N;Pos;Vel;0
Robin Yalçın;Z;TUR;N;32;D;S;Cab;Res;0
Candan Başkale;V;TUR;N;21;D;N;Mar;Res;0
Dorukhan Toköz;V;TUR;N;30;D;N;Des;Con;0
Manolis Siopis;V;GRC;N;32;D;S;Chu;For;0
Marius Tresor Doh;V;CIV;N;22;D;N;Mar;Con;0
Yaya Onogo;V;CIV;N;18;D;N;Ant;Agi;0
Barış Kalaycı;M;TUR;N;20;A;S;Pas;Cri;0
Emre Akbaba;M;TUR;N;33;E;S;Chu;Cri;0
Ahmed Traore;P;CIV;N;19;E;N;Cru;Vel;0
Daniele Verde;P;ITA;N;30;E;S;Cru;Cri;0
Tarık Buğra Kalpaklı;P;TUR;N;17;D;N;Pas;Vel;0
Tarık Tuğyan;P;TUR;N;22;D;N;Cru;Vel;0
Aleksandar Pesic;A;SRB;N;34;D;N;Fin;Res;0
Cenk Tosun;A;TUR;N;35;D;N;Cab;Imp;0
Moussa Kone;A;CIV;N;18;D;N;Fin;Imp;0
Tiago Çukur;A;TUR;N;23;D;S;Fin;Vel;0
