Nacional-URU;URY;79;Gran Parque Central;Jorge Bava;URY;083684;FFFFFF;37000
Alexis Martín Arias;G;ARG;N;34;D;N;Ref;Fri;0
Ignacio Suárez;G;URY;N;24;D;N;Ref;For;0
Luis Mejía;G;PAN;N;35;E;S;Sgo;Fle;0
Benjamín Núñez;L;URY;N;23;E;N;Pas;Res;0
Camilo Cándido;L;URY;N;31;E;S;Pas;Res;0
Emiliano Ancheta;L;URY;N;27;D;S;Cru;For;0
Facundo González;L;URY;N;21;D;N;Pas;Vel;0
Gastón Martirena;L;URY;N;26;D;N;Cru;Res;0
Nicolás Rodríguez;L;URY;N;35;D;N;Cru;Vel;0
Agustín Rogel;Z;URY;N;28;D;S;Des;Res;4
Francisco Calvo;Z;CRI;N;34;E;N;Cab;Imp;0
Paolo Calione;Z;URY;N;20;D;N;Ant;Vel;0
Sebastián Coates;Z;URY;N;35;D;S;Pos;Res;0
Tomás Viera;Z;URY;N;20;E;S;Ant;Vel;0
Bruno Zuculini;V;ARG;N;33;D;N;Pas;Vis;0
Juan Ignacio García;V;URY;N;20;D;N;Pas;Con;0
Agustín Dos Santos;M;URY;N;18;D;N;Pas;Cri;0
Baltasar Barcia;M;URY;N;25;D;S;Fin;Vis;0
Lucas Rodríguez;M;URY;N;33;D;S;Pas;Cri;0
Luciano Boggio;M;URY;N;27;D;S;Chu;Fri;0
Rubén Botta;M;ARG;N;36;E;N;Dri;Cri;0
Santiago Silva;M;URY;N;21;D;N;Pas;Vis;0
Juan de los Santos;P;URY;N;23;E;N;Cru;Vel;0
Rodrigo Martínez;P;URY;N;18;D;N;Cru;Ace;0
Tomás Verón Lupi;P;ARG;N;25;D;S;Pas;Vel;0
Maxi Gómez;A;URY;N;29;D;S;Chu;Fri;6
Maximiliano Silvera;A;URY;N;28;D;N;Fin;For;0
Pavel Núñez;A;URY;N;20;D;N;Fin;Vel;0
Tiziano Correa;A;URY;N;21;D;N;Dri;Vel;0
