Ituano;BRA;60;Novelli Júnior;Mazola Júnior;BRA;E30014;000000;15500
Lucas Wingert;G;BRA;N;27;E;N;Col;Imp;0
Saulo;G;BRA;N;31;D;S;Ref;Con;0
Wesley Borges;G;BRA;N;24;D;N;Ref;Fle;0
Guilherme Dal Pian;L;BRA;N;27;E;N;Cru;Agi;0
Lucas Dias;L;BRA;N;21;D;N;Mar;Vel;0
Lucas Mota;L;BRA;N;31;D;S;Pas;For;0
Richard;L;BRA;N;21;E;N;Pos;Ace;0
Thassio;L;BRA;N;25;D;N;Des;Vel;0
Tiaguinho;L;BRA;N;25;E;N;Pas;Vel;0
Carlão;Z;BRA;N;25;D;N;Des;For;0
Leandro Sergipe;Z;BRA;N;27;D;N;Mar;Vel;0
Léo Coltro;Z;BRA;N;27;D;N;Ant;Imp;0
Matheus Mancini;Z;BRA;N;31;E;S;Pos;Con;0
Guilherme Xavier;V;BRA;N;31;E;S;Pas;Con;0
Marthã;V;BRA;N;29;D;S;Des;For;0
Felipe Muranga;M;BRA;N;25;E;N;Pas;Agi;0
Fernando Canesin;M;BRA;N;34;D;S;Pas;Vis;0
Lipe;M;BRA;N;22;D;N;Arm;Agi;0
Lucas Stefanello;M;BRA;N;21;D;N;Dri;Vis;0
Nelsinho;M;BRA;N;32;D;S;Chu;Vis;0
Victor Silva;M;BRA;N;22;D;N;Fin;Agi;0
Bruno Alves;P;BRA;N;33;D;S;Cru;Cri;0
Marlinho;P;BRA;N;21;E;N;Arm;Ace;0
Neto Berola;P;BRA;N;38;D;S;Dri;Agi;0
Alason Carioca;A;BRA;N;27;A;S;Dri;Vel;0
Bruno Mezenga;A;BRA;N;37;E;S;Cab;For;0
Gabriel Razera;A;BRA;N;22;D;N;Fin;Imp;0
Léo Passos;A;BRA;N;27;D;N;Pas;For;0
