Albion;URY;75;Luis Franzini;Federico Nieves;URY;E42523;0058A4;16000
Danilo Lerda;G;ARG;N;39;D;N;Col;Imp;0
Sebastián Jaume;G;URY;N;21;D;S;Ref;Con;0
Agustín Pereira;L;URY;N;25;D;N;Des;Agi;0
Andrés Romero;L;URY;N;27;D;S;Des;Agi;0
Federico Puente;L;URY;N;30;E;N;Pas;Agi;0
José Álvarez;L;URY;N;31;E;S;Cru;Ace;0
Francisco Couture;Z;URY;N;22;D;N;Pos;Con;0
Matías De los Santos;Z;URY;N;33;D;N;Mar;For;0
Pablo Lacoste;Z;URY;N;38;D;S;Des;For;0
Pablo Alcoba;V;URY;N;17;D;N;Ant;For;0
Tomás Moschión;V;ARG;N;25;D;S;Des;Res;0
Francisco Ginella;M;URY;N;27;D;S;Pas;Vis;0
Román Gutiérrez;M;URY;N;21;D;N;Pas;Agi;0
Santiago Costa;M;URY;N;26;E;N;Pas;Res;0
Agustín Vera;P;URY;N;22;E;S;Arm;Res;0
Briam Acosta;P;URY;N;28;D;N;Dri;Agi;0
Carlos Airala;P;ARG;N;23;E;S;Fin;Ace;0
Hernán Toledo;P;ARG;N;30;D;S;Dri;Cri;0
Iker Zufiaurre;P;ARG;N;20;A;N;Fin;Ace;0
Lucas Rodríguez;P;URY;N;29;E;S;Fin;Agi;0
Mateo Alcoba;P;URY;N;17;A;N;Pas;Cri;0
Tobías Figueroa;A;ARG;N;34;E;N;Cab;For;0
Álvaro López;A;ARG;N;27;D;S;Fin;Fri;0
