Atlético de Rafaela;ARG;58;Nuevo Monumental;Fernando Quiroz;ARG;FFFFFF;0085CA;20500
Mayco Bergia;G;ARG;N;24;D;S;Ref;Fri;0
Ramiro Martínez;G;ARG;N;35;D;N;Sgo;Con;0
Enzo Wuattier;L;ARG;N;21;E;S;Des;Agi;0
Leonardo Flores;L;ARG;N;29;D;S;Cru;Ace;0
Lorenzo Moscoloni;L;ARG;N;22;E;N;Pas;Agi;0
Roque Ramírez;L;ARG;N;26;E;N;Mar;For;0
Agustín Solveyra;Z;ARG;N;25;D;S;Des;Res;0
Ariel González;Z;ARG;N;20;D;N;Cab;Con;0
Fernando Ponce;Z;ARG;N;34;E;S;Ant;Vel;0
Gabriel Fernández;Z;ARG;N;33;D;S;Mar;Imp;0
Luciano Echeverría;Z;ARG;N;22;D;N;Pos;For;0
Nicolás Ramos;Z;URY;N;27;D;S;Mar;Con;0
Ulises Yegros;Z;ARG;N;25;D;N;Des;For;0
Facundo Soloa;V;ARG;N;29;D;S;Ant;For;0
Valentino Arro;V;ARG;N;21;D;N;Pas;Vis;0
Juan Capurro;M;ARG;N;32;D;N;Fin;Vis;0
Juan Cavallaro;M;ARG;N;32;D;N;Arm;Agi;0
Marcos Fernández;M;ARG;N;33;D;N;Pas;Res;0
Matías Morello;M;ARG;N;25;D;N;Chu;Res;0
Thomas Rojas;M;ARG;N;21;D;N;Pas;Cri;0
Agustín Obando;P;ARG;N;26;E;N;Fin;Res;0
Federico Jourdan;P;ARG;N;35;D;N;Cru;Ace;0
Gabriel Esparza;P;ARG;N;33;E;N;Dri;Cri;0
Matías Pardo;P;ARG;N;31;D;N;Arm;Cri;0
Nahuel Cainelli;P;ARG;N;31;D;S;Cru;Vel;0
Alexis Rodríguez;A;ARG;N;30;D;N;Fin;Vel;0
Ijiel Protti;A;ARG;N;31;E;N;Cab;Res;0
Lucas Albertengo;A;ARG;N;35;D;S;Dri;Vel;0
Martiniano Moreno;A;ARG;N;23;D;S;Pas;Imp;0
Mauro Quiroga;A;ARG;N;36;D;N;Chu;Fri;0
