Racing;ARG;81;El Cilindro;Juan Pablo Vojvoda;ARG;00B3FF;FFFFFF;55500
Facundo Cambeses;G;ARG;N;29;D;S;Col;Fle;0
Francisco Gómez;G;ARG;N;22;D;N;Col;Con;0
Matías Tagliamonte;G;ARG;N;28;E;N;Ref;Imp;0
Alfonso Espino;L;URY;N;34;E;N;Des;For;0
Ezequiel Cannavo;L;ARG;N;24;D;S;Des;Res;0
Juan Barinaga;L;ARG;N;25;D;N;Des;For;0
Tobías Rubio;L;ARG;N;21;D;N;Mar;Agi;0
Gonzalo Escudero;Z;ARG;N;19;E;N;Ant;Imp;0
Marco Di Césare;Z;ARG;N;24;D;S;Cab;Imp;0
Marcos Rojo;Z;ARG;N;36;E;N;Des;Con;0
Matías Pérez;Z;ARG;N;27;D;S;Ant;Vel;0
Nazareno Colombo;Z;ARG;N;27;D;N;Ant;Con;0
Alan Forneris;V;ARG;N;21;D;N;Pas;Vis;0
Leonel Pérez;V;ARG;N;21;D;S;Des;Agi;0
Matías Kranevitter;V;ARG;N;33;D;N;Ant;Con;0
Ulises Ortegoza;V;CHL;N;29;D;N;Pas;Res;0
Adrián Fernández;M;ARG;N;25;D;S;Arm;Cri;0
Gastón Lodico;M;ARG;N;28;D;S;Fin;Agi;0
Ignacio Rodríguez;M;ARG;N;24;E;N;Arm;Res;0
Matko Miljevic;M;USA;N;25;D;N;Arm;Vis;0
Matías Zaracho;M;ARG;N;28;D;S;Pas;Res;0
Valentín Carboni;M;ARG;N;21;E;N;Pas;Vis;0
Duván Vergara;P;COL;N;29;D;N;Pas;Res;0
Santiago Solari;P;ARG;N;28;D;S;Pas;Res;0
Tomás Conechny;P;ARG;N;28;E;S;Pas;Cri;0
Adrián Martínez;A;ARG;N;34;E;S;Fin;Fri;0
Elías Torres;A;ARG;N;25;D;N;Fin;Imp;0
Emiliano Saliadarre;A;ARG;N;24;E;N;Dri;Vel;0
Lautaro Díaz;A;ARG;N;27;D;N;Dri;Vel;0
