Iguatu;BRA;51;Morenão;Otacílio Neto;BRA;0312BA;FFFFFF;3500
Geferson;G;BRA;N;29;D;N;Col;For;0
Zé Rafael;G;BRA;N;24;D;S;Ref;Fle;0
Eric;L;BRA;N;26;E;N;Mar;For;0
Marcos Vinicius;L;BRA;N;22;D;N;Pas;Vel;0
Marquinhos;L;BRA;N;22;D;N;Des;Ace;0
Melk;L;BRA;N;22;D;S;Des;Agi;0
Tafinha;L;BRA;N;23;E;N;Pos;Agi;0
Talisson Calcinha;L;BRA;N;31;D;S;Cru;Vel;0
Talys;L;BRA;N;31;E;N;Cru;For;0
Diguinho;Z;BRA;N;25;D;S;Des;Vel;0
Hudson;Z;BRA;N;21;D;N;Ant;For;0
João Pedro;Z;BRA;N;21;D;N;Cab;Imp;0
Leandro;Z;BRA;N;21;D;N;Des;For;0
Luis Fernando;Z;BRA;N;35;D;S;Pos;Con;0
Miguel Holanda;Z;BRA;N;20;D;N;Pos;Vel;0
João Neto;V;BRA;N;21;E;S;Mar;For;0
Rodrigo Correia;V;BRA;N;32;E;S;Pas;Vis;0
Thalison;V;BRA;N;26;D;S;Ant;Con;0
Alex Pindoretama;M;BRA;N;26;D;N;Pas;Vis;0
Caio Soares;M;BRA;N;21;A;S;Dri;Agi;0
Danilo Nazaré;M;BRA;N;25;E;N;Arm;Cri;0
Eric;M;BRA;N;26;D;N;Fin;Agi;0
Kauan;M;BRA;N;23;D;N;Pas;Agi;0
Pedrinho;M;BRA;N;25;D;N;Arm;Vis;0
Uchoa;M;BRA;N;24;D;N;Chu;Res;0
Aslen Kevin;P;BRA;N;27;D;N;Dri;Vel;0
Klaivert;P;BRA;N;22;D;N;Cru;Agi;0
Matheus Lima;A;BRA;N;23;D;S;Fin;Vel;0
Otacílio Marcos;A;BRA;N;30;D;S;Cab;For;0
Pedro Kauan;A;BRA;N;18;D;N;Fin;For;0
