Sanfrecce Hiroshima;JPN;82;EDION Peace Wing Hiroshima;Bartosch Gaul;DEU;4A1E7C;CAA44C;28500
Hikaru Ogawa;G;JPN;N;19;D;N;Col;Con;0
Issei Ouchi;G;JPN;N;25;D;S;Rbo;Con;0
Keisuke Osako;G;JPN;N;27;D;N;Ref;Fle;0
Yudai Tanaka;G;JPN;N;30;D;N;Ref;Fri;0
Naoto Arai;L;JPN;N;29;D;N;Cru;For;0
Shuto Nakano;L;JPN;N;26;D;S;Cru;Res;0
Takaaki Shichi;L;JPN;N;32;E;N;Pas;For;0
Hayato Araki;Z;JPN;N;30;D;S;Cab;For;0
Ju-sung Kim;Z;KOR;N;25;E;N;Ant;Vel;0
Sho Sasaki;Z;JPN;N;36;D;S;Mar;Vel;4
Taichi Yamasaki;Z;JPN;N;25;D;N;Des;Vel;0
Tsukasa Shiotani;Z;JPN;N;37;D;S;Des;For;3
Rento Noguchi;V;JPN;N;18;D;N;Pas;Con;0
Taishi Matsumoto;V;JPN;N;27;D;N;Pas;For;0
Daiki Suga;M;JPN;N;27;E;N;Chu;Res;0
Hayao Kawabe;M;JPN;N;30;D;S;Pas;Agi;0
Shimon Kobayashi;M;JPN;N;18;D;N;Fin;Agi;0
Shunki Higashi;M;JPN;N;26;E;S;Arm;Agi;2
Sota Koshimichi;M;JPN;N;22;D;N;Dri;Agi;0
Takumu Kawamura;M;JPN;N;26;E;N;Chu;Fri;0
Yotaro Nakajima;M;JPN;N;20;D;S;Pas;Vis;0
Naoki Maeda;P;JPN;N;31;E;N;Dri;Vel;0
Takuma Asano;P;JPN;N;31;D;N;Dri;Ace;0
Akito Suzuki;A;JPN;N;23;D;S;Fin;Res;0
Mutsuki Kato;A;JPN;N;29;D;S;Fin;Vel;0
Shun Ayukawa;A;JPN;N;24;D;N;Dri;Vel;0
Sébastien Haller;A;CIV;N;32;D;S;Cab;For;6
