Machida Zelvia;JPN;80;Machida GION Stadium;Go Kuroda;JPN;0056A4;FFFFFF;15000
Aki Koch;G;DEU;N;22;D;N;Col;For;0
Kosei Tani;G;JPN;N;25;D;S;Ref;Fri;1
Nicholas Guimarães;G;PHL;N;20;D;N;Ref;Fri;0
Tatsuya Morita;G;JPN;N;36;D;N;Ref;Imp;0
Henry Heroki Mochizuki;L;JPN;N;24;D;N;Cru;Vel;0
Hotaka Nakamura;L;JPN;N;29;D;S;Mar;Vel;0
Takahiro Akimoto;L;JPN;N;28;E;S;Mar;For;0
Daihachi Okamura;Z;JPN;N;29;D;S;Des;For;0
Gen Shoji;Z;JPN;N;33;D;S;Pos;Con;4
Ibrahim Dresevic;Z;XKX;N;29;D;N;Ant;Imp;0
Min-tae Kim;Z;KOR;N;32;D;N;Cab;For;0
Ryuho Kikuchi;Z;JPN;N;29;D;N;Pos;Imp;0
Thomas Ouwejan;Z;NLD;N;29;E;N;Mar;Imp;0
Hiroyuki Mae;V;JPN;N;31;D;S;Ant;Res;0
Hokuto Shimoda;V;JPN;N;34;E;N;Chu;Vis;2
Je-hoon Cha;V;KOR;N;20;D;N;Pas;Agi;0
Neta Lavi;V;ISR;N;29;D;S;Des;Agi;0
Asahi Masuyama;M;JPN;N;29;D;N;Dri;Res;0
Futa Tokumura;M;JPN;N;18;D;N;Dri;Agi;0
Keiya Sento;M;JPN;N;31;D;N;Pas;Vis;0
Ryohei Shirasaki;M;JPN;N;33;D;N;Pas;Res;0
Tenshiro Takasaki;M;JPN;N;20;E;N;Dri;Agi;0
Yusuke Matsuo;M;JPN;N;29;D;N;Dri;Agi;0
Erik;P;BRA;N;32;D;N;Fin;Vel;0
Yuki Soma;P;JPN;S;29;D;S;Dri;Vel;5
Koki Ogawa;A;JPN;N;28;D;N;Cab;Imp;0
Mitchell Duke;A;AUS;N;35;D;S;Cab;Imp;0
Takuma Nishimura;A;JPN;N;29;D;S;Cab;For;0
Tete Yengi;A;AUS;N;25;D;S;Pas;For;0
