CRB;BRA;72;Rei Pelé;Fábio Matias;BRA;CE2B2E;FFFFFF;17000
Fábio Henrique;G;BRA;N;23;D;N;Col;Con;0
Matheus Albino;G;BRA;N;31;E;S;Ref;Fri;0
Pablo;G;BRA;N;22;D;N;Ref;Fle;0
Vitor Caetano;G;BRA;N;27;D;N;Ref;Con;0
Hereda;L;BRA;N;27;D;S;Cru;Vel;0
Kevin;L;BRA;N;28;D;N;Des;Agi;0
Lucas Lovat;L;BRA;N;29;E;S;Pas;Agi;0
Léo Campos;L;BRA;N;34;E;N;Cru;Agi;0
Reverson;L;BRA;N;29;E;N;Cru;Vel;0
Bressan;Z;BRA;N;33;D;N;Pos;Con;0
Fábio Alemão;Z;BRA;N;29;D;S;Des;For;0
Henri;Z;BRA;N;24;D;S;Pos;Vel;0
Lyncon;Z;BRA;N;21;D;N;Pos;Vel;0
Luizão;V;BRA;N;28;D;N;Pas;For;0
Patrick de Lucca;V;BRA;N;26;D;N;Pas;For;0
Crystopher;M;BRA;N;28;D;S;Arm;Vis;0
Danielzinho;M;BRA;N;30;D;S;Pas;Agi;0
Geovane;M;BRA;N;27;E;N;Pas;Agi;0
Pedro Castro;M;BRA;N;33;D;S;Chu;Fri;0
Dadá Belmonte;P;BRA;N;29;D;S;Fin;Ace;0
Douglas Baggio;P;BRA;N;31;D;S;Arm;Agi;0
Guilherme Pato;P;BRA;N;25;D;N;Dri;Vel;0
Thiaguinho;P;BRA;N;25;E;N;Fin;Vel;0
Vinícius Barata;P;BRA;N;27;E;N;Arm;Agi;0
João Neto;A;BRA;N;23;E;N;Fin;Vel;0
Luiz Phellype;A;BRA;N;32;D;N;Pas;For;0
Mikael;A;BRA;N;27;E;S;Fin;Fri;0
