Eldense;ESP;72;Nuevo Pepico Amat;Claudio Barragán;ESP;042D94;BA0205;5500
Juan Palomares;G;ESP;N;26;D;N;Col;Con;0
Ramón Vila;G;ESP;N;24;D;S;Sgo;Fle;0
Alejandro Ibarrondo;L;ESP;N;25;D;N;Cru;Vel;0
David Ruiz;L;ESP;N;23;E;S;Mar;Agi;0
Jesús Clemente;L;ESP;N;25;D;S;Pas;Ace;0
Jordi Martín;L;ESP;N;25;E;S;Des;Vel;0
Julien Yanda;L;DEU;N;19;E;N;Pos;Ace;0
Floris Smand;Z;NLD;N;23;D;S;Pos;Con;0
Iker Recio;Z;ESP;N;25;E;N;Des;Con;0
Javier Olaizola;Z;ESP;N;19;E;S;Mar;Imp;0
Álex Serradell;Z;ESP;N;24;D;S;Des;For;0
Carlos Guirao;V;ESP;N;23;D;N;Pas;Agi;0
Marcos Bustillo;V;ESP;N;25;D;N;Des;Res;0
Borja Calvo;M;ESP;N;24;D;N;Dri;Vis;0
Guillermo Macho;M;ESP;N;23;D;S;Pas;Agi;0
Javi Martínez;M;ESP;N;26;D;N;Pas;Agi;0
Justin Smith;M;CAN;N;23;D;S;Pas;Res;0
Aingeru Olabarrieta;P;ESP;N;20;E;N;Dri;Vel;0
Fidel;P;ESP;N;36;E;S;Arm;Cri;0
Jorge Rastrojo;P;ESP;N;26;D;N;Dri;Ace;0
Waldo Rubio;P;ESP;N;31;D;N;Cru;Ace;0
Manu Nieto;A;ESP;N;28;D;N;Fin;For;0
Mariano Carmona;A;ESP;N;25;D;S;Dri;Vel;0
Pau Cabanes;A;ESP;N;21;D;N;Pas;Res;0
