Real Sociedad;ESP;86;Reale Arena;Pellegrino Matarazzo;USA;0000FF;FFFFFF;39000
Unai Marrero;G;ESP;N;24;D;N;Ref;For;0
Álex Remiro;G;ESP;N;31;D;S;Rbo;Imp;1
Aihen Muñoz;L;ESP;N;28;E;N;Cru;Agi;0
Héctor Fort;L;ESP;N;20;D;N;Cru;Agi;0
Iñaki Rupérez;L;ESP;N;23;D;N;Cru;Res;0
Jon Aramburu;L;VEN;N;24;D;S;Des;For;0
Sergio Gómez;L;ESP;N;25;E;S;Cru;Agi;0
Álvaro Odriozola;L;ESP;N;30;D;N;Pas;Agi;0
Igor Zubeldia;Z;ESP;N;29;D;S;Pos;Con;0
Jon Martín;Z;ESP;N;20;D;S;Ant;Imp;0
Jon Pacheco;Z;ESP;N;25;E;N;Ant;Con;0
Kazunari Kita;Z;JPN;N;20;E;N;Pos;Imp;0
Beñat Turrientes;V;ESP;N;24;D;S;Chu;Agi;0
Jon Gorrotxategi;V;ESP;N;24;D;S;Pas;Vis;0
Yangel Herrera;V;VEN;N;28;D;N;Chu;Agi;0
Arsen Zakharyan;M;RUS;N;23;D;N;Chu;Cri;0
Carlos Soler;M;ESP;N;29;D;S;Chu;Vis;0
Luka Sucic;M;HRV;N;23;E;N;Chu;Agi;0
Pablo Marín;M;ESP;N;23;D;N;Pas;Res;0
Ander Barrenetxea;P;ESP;N;24;D;S;Pas;Agi;0
Gonçalo Guedes;P;PRT;N;29;D;S;Fin;Vel;0
Takefusa Kubo;P;JPN;N;25;E;N;Dri;Cri;0
Jon Karrikaburu;A;ESP;N;23;D;N;Cab;For;0
Mikel Oyarzabal;A;ESP;S;29;E;S;Chu;Fri;6
Orri Óskarsson;A;ISL;N;21;D;N;Cab;Vel;0
