Everton;ENG;91;Hill Dickinson Stadium;David Moyes;SCT;0052CC;FFFFFF;52500
Jordan Pickford;G;ENG;N;32;E;S;Ref;Fle;1
Mark Travers;G;IRL;N;27;D;N;Ref;Fle;0
Tom King;G;WLS;N;31;D;N;Ref;Con;0
Jake O'Brien;L;IRL;N;25;D;S;Pos;For;0
Vitaliy Mykolenko;L;UKR;N;27;E;S;Cru;Vel;0
James Tarkowski;Z;ENG;N;33;D;S;Ant;Imp;0
Jarrad Branthwaite;Z;ENG;N;24;E;N;Mar;Con;0
Michael Keane;Z;ENG;N;33;D;S;Ant;Imp;0
Christian Nørgaard;V;DNK;N;32;D;N;Ant;Con;0
Hayden Hackney;V;ENG;N;24;D;N;Pas;Vis;0
James Garner;V;ENG;N;25;D;S;Des;Vis;0
Tim Iroegbunam;V;ENG;N;23;D;S;Des;Agi;0
Carlos Alcaraz;M;ARG;N;23;D;S;Chu;Vis;3
Dewsbury-Hall;M;ENG;N;27;E;S;Arm;Cri;0
Harrison Armstrong;M;ENG;N;19;D;N;Dri;Cri;0
Merlin Röhl;M;DEU;N;24;D;S;Dri;Res;0
Brennan Johnson;P;WLS;N;25;D;N;Fin;Agi;0
Tyler Dibling;P;ENG;N;20;E;N;Dri;Vel;0
Tyrique George;P;ENG;N;20;D;N;Pas;Res;0
Thierno Barry;A;FRA;N;23;D;S;Cab;For;0
