Cremonese;ITA;73;Giovanni Zini;Marco Giampaolo;ITA;808080;FF0000;16000
Andrea Fulignati;G;ITA;N;31;D;S;Sgo;Con;0
Federico Agazzi;G;ITA;N;21;D;N;Ref;Fle;0
Marco Festa;G;ITA;N;34;D;N;Ref;Con;0
Giuseppe Pezzella;L;ITA;N;28;E;S;Des;Res;0
Tommaso Barbieri;L;ITA;N;24;D;N;Des;Ace;0
Yuri Rocchetti;L;ITA;N;23;E;N;Cru;Vel;0
Alessandro Vogliacco;Z;ITA;N;27;D;S;Pos;Con;0
Federico Baschirotto;Z;ITA;N;29;D;N;Des;For;0
Fellipe Jack;Z;ITA;N;20;E;N;Des;For;0
Matteo Bianchetti;Z;ITA;N;33;D;S;Des;Con;0
Sebastiano Luperto;Z;ITA;N;29;E;S;Pos;Con;0
Alberto Grassi;V;ITA;N;31;D;N;Ant;Con;0
Alessio Brambilla;V;ITA;N;25;D;N;Pas;Vis;0
Fabio Gerli;V;ITA;N;29;D;S;Pas;Vis;0
Simone Lottici Tessadri;V;ITA;N;20;D;S;Pas;Agi;0
Dachi Lordkipanidze;M;GEO;N;21;A;N;Pas;Agi;0
Jari Vandeputte;M;BEL;N;30;D;S;Arm;Vis;0
Michele Collocolo;M;ITA;N;26;D;N;Pas;Res;0
Morten Thorsby;M;NOR;N;30;D;N;Fin;Res;0
Salvatore Elia;M;ITA;N;27;D;N;Pas;Agi;0
Simone Pontisso;M;ITA;N;29;D;S;Arm;Vis;0
Tommaso Berti;M;ITA;N;22;D;N;Arm;Agi;0
Adin Licina;P;DEU;N;19;E;N;Dri;Cri;0
Adrian Lickūnas;P;LTU;N;20;E;N;Dri;Agi;0
David Stückler;A;DNK;N;21;D;N;Fin;Imp;0
Federico Bonazzoli;A;ITA;N;29;E;S;Chu;For;0
Manuel De Luca;A;ITA;N;28;A;S;Fin;For;0
Marco Nasti;A;ITA;N;22;D;N;Fin;Res;0
Milan Djuric;A;BIH;N;36;D;N;Cab;Imp;0
