Nancy;FRA;68;Stade Marcel-Picot;Oswald Tanchot;FRA;FF2E1B;FFFFFF;20000
Enzo Basilio;G;FRA;N;31;D;S;Ref;Imp;0
Geoffrey Lembet;G;CAF;N;37;E;N;Sgo;Fle;0
Kenzo Noël;G;FRA;N;20;D;N;Rbo;Con;0
Enzo Tacafred;L;FRA;N;21;D;S;Cru;For;0
Logan Ndenbe;L;BEL;N;26;E;N;Pas;Vel;0
Thierno Baldé;L;FRA;N;24;D;N;Pas;Ace;0
Elydjah Mendy;Z;GNB;N;26;E;S;Mar;Imp;0
Héliohdino Tavares;Z;FRA;N;21;D;N;Pos;Con;0
Nehemiah Fernandez;Z;FRA;N;21;D;S;Mar;Res;0
Nicolas Saint-Ruf;Z;GLP;N;33;D;S;Pos;For;0
Yannis Nahounou;Z;FRA;N;22;D;S;Des;Vel;0
Chafik El Hansar;V;FRA;N;21;D;N;Ant;Res;0
Hugo Barbier;V;FRA;N;21;D;N;Pas;Con;0
Jérémy Gélin;V;FRA;N;29;D;S;Mar;Vis;0
Kouroufia Kébé;V;FRA;N;20;D;N;Des;For;0
Issam Bouaoune;M;DZA;N;23;D;N;Pas;Agi;0
Joël-Emmanuel Coulibaly;M;FRA;N;19;D;N;Pas;Agi;0
Mamadou Fofana;M;MRT;N;25;D;N;Pas;Res;0
Walid Bouabdeli;M;FRA;N;26;D;S;Pas;Agi;0
Yanis Delaveau;M;DZA;N;19;E;N;Pas;Agi;0
Brandon Bokangu;P;COD;N;26;D;S;Arm;Ace;0
Nordine Kandil;P;MAR;N;24;E;N;Dri;Cri;0
Sidi Cissé;P;FRA;N;23;D;N;Dri;Agi;0
Ylan El Hadary;P;MDG;N;20;D;N;Dri;Cri;0
Zakaria Fdaouch;P;FRA;N;29;E;S;Cru;Ace;0
Adrian Dabasse;A;FRA;N;33;D;S;Fin;Imp;0
Ilyes Housni;A;MAR;N;21;D;N;Dri;Vel;0
Noam Obougou;A;FRA;N;20;D;N;Fin;Imp;0
Pape Meïssa Ba;A;SEN;N;28;D;N;Chu;Vel;0
Zakaria Ztouti;A;FRA;N;19;D;N;Chu;Imp;0
