Deportivo Riestra;ARG;76;Guillermo Laza;Guillermo Duró;ARG;000000;FFFFFF;8000
Ignacio Arce;G;ARG;S;34;D;S;Ref;Con;0
Iván López;G;ARG;N;30;D;N;Rbo;Fle;0
Marino Arzamendia;G;PRY;N;28;D;N;Ref;Fri;0
Manuel Aiello;L;ARG;N;22;D;N;Pos;Agi;0
Mariano Bracamonte;L;ARG;N;27;D;N;Cru;Ace;0
Nicolás Sansotre;L;ARG;N;32;D;S;Des;For;0
Pedro Ramírez;L;ARG;N;26;D;S;Pas;Agi;0
Rodrigo Gallo;L;ARG;N;25;E;N;Mar;Res;0
Carlos Quintana;Z;ARG;N;38;A;N;Des;Res;0
Cristian Paz;Z;ARG;N;31;D;S;Des;Vel;0
Facundo Miño;Z;ARG;N;26;D;S;Ant;For;0
Ignacio Gariglio;Z;ARG;N;28;D;N;Pos;Con;0
Juan Randazzo;Z;ARG;N;31;D;S;Cab;Imp;0
Yeison Murillo;Z;COL;N;36;D;N;Pos;Vel;0
Matías García;V;ARG;N;30;E;N;Pas;Vis;0
Nicolás Watson;V;ARG;N;28;D;S;Ant;For;0
Yonatan Goitía;V;ARG;N;32;D;S;Pas;Agi;0
Mauro Smarra;M;ARG;N;27;E;N;Fin;Vis;0
Pablo Monje;M;ARG;N;29;D;S;Pas;Res;0
Thiago Lauro;M;ARG;N;21;D;N;Fin;Res;0
Gabriel Obredor;P;ARG;N;29;D;N;Arm;Cri;0
Ángel Almada;P;ARG;N;25;E;N;Cru;Agi;0
Ángel Stringa;P;ARG;N;30;D;N;Dri;Ace;0
Agustín Graneros;A;ARG;N;30;D;N;Pas;Res;0
Alexander Díaz;A;ARG;N;26;E;S;Cab;Res;0
Antony Alonso;A;URY;N;28;E;S;Pas;Imp;0
Gonzalo Flores;A;ARG;N;24;D;N;Fin;Vel;0
Nicolás Benegas;A;ARG;N;30;D;N;Chu;Fri;0
Tomás González;A;ARG;N;23;D;N;Pas;Fri;0
