Juventus;ITA;91;Allianz Stadium;Luciano Spalletti;ITA;FFFFFF;0A0909;41500
Carlo Pinsoglio;G;ITA;N;36;E;S;Col;Fle;0
Guglielmo Vicario;G;ITA;N;29;D;N;Rbo;Con;0
Kamil Grabara;G;POL;N;27;D;N;Col;Imp;0
Juan Cabal;L;COL;N;25;E;N;Mar;Res;0
Zeki Çelik;L;TUR;N;29;D;S;Mar;Res;0
Bremer;Z;BRA;S;29;D;N;Cab;For;3
Daniele Rugani;Z;ITA;N;31;D;N;Pos;Con;0
Federico Gatti;Z;ITA;N;28;D;N;Mar;Imp;0
Jhon Lucumí;Z;COL;N;28;E;N;Ant;Vel;0
Lloyd Kelly;Z;ENG;N;27;E;S;Des;Res;0
Pierre Kalulu;Z;FRA;N;26;D;S;Des;Vel;0
Manuel Locatelli;V;ITA;N;28;D;S;Pas;Vis;0
Teun Koopmeiners;V;NLD;S;28;E;S;Chu;Vis;4
Andrea Cambiaso;M;ITA;N;26;A;S;Arm;Cri;0
Douglas Luiz;M;BRA;N;28;D;N;Pas;Vis;0
Khéphren Thuram;M;FRA;N;25;D;S;Pas;Cri;0
Pape Matar Sarr;M;SEN;N;23;D;N;Chu;Agi;0
Weston McKennie;M;USA;N;27;D;S;Arm;Fri;0
Edon Zhegrova;P;XKX;N;27;E;N;Dri;Vel;0
Francisco Conceição;P;PRT;N;23;E;S;Dri;Ace;0
Jérémie Boga;P;CIV;N;29;D;N;Dri;Vel;0
Kenan Yıldız;P;TUR;N;21;A;S;Dri;Cri;5
Kerim Alajbegovic;P;BIH;N;18;A;N;Fin;Cri;0
Nico González;P;ARG;N;28;E;N;Fin;Ace;0
Arkadiusz Milik;A;POL;N;32;E;N;Cab;For;0
Jeff Ekhator;A;ITA;N;19;D;N;Fin;Vel;0
Nick Woltemade;A;DEU;N;24;D;N;Fin;Vel;6
Randal Kolo Muani;A;FRA;N;27;D;N;Dri;Vel;0
