Amarante;PRT;67;Estádio Municipal de Amarante;Jorge Pinto;PRT;FFFFFF;000000;5000
Didi;G;PRT;N;25;E;S;Ref;Con;0
Rafael Flores;G;PRT;N;23;D;N;Col;Fle;0
Rúben Pinto;G;PRT;N;18;D;N;Sgo;Con;0
Alemão;L;BRA;N;33;D;S;Des;For;0
João Ricardo;L;PRT;N;24;E;S;Cru;Agi;0
Lawrence;L;NGA;N;23;D;N;Cru;Vel;0
Rúben Silva;L;PRT;N;28;D;S;Pas;Agi;0
Diogo Costa;Z;PRT;N;23;D;N;Pos;Con;0
Feliciano;Z;GNB;N;23;D;N;Pos;Vel;0
Gonçalo Cunha;Z;PRT;N;24;E;S;Ant;Con;0
João Filipe;Z;PRT;N;26;D;S;Mar;For;0
Rodrigo Beirão;Z;PRT;N;23;E;N;Ant;Con;0
Nito;V;GNB;N;24;D;N;Mar;For;0
Rodrigo Guedes;V;PRT;N;25;D;S;Mar;For;0
Faissal Zangré;M;BFA;N;29;D;S;Fin;Res;0
Rúben Alves;M;PRT;N;30;D;N;Arm;Agi;0
Tokinho Dória;M;BRA;N;29;D;S;Pas;Vis;0
Leandro Ferreira;P;PRT;N;24;D;N;Dri;Agi;0
Luís Machado;P;PRT;N;33;D;S;Arm;Cri;0
Melvin Costa;P;PRT;N;22;E;N;Fin;Cri;0
Simão Silva;P;PRT;N;21;D;N;Arm;Cri;0
Arome;A;NGA;N;24;D;S;Fin;Vel;0
Cardoso;A;PRT;N;23;D;N;Fin;For;0
