Urawa Red Diamonds;JPN;76;Saitama Stadium 2002;Gwi-jae Jo;KOR;E50029;000000;63500
Koki Fukui;G;JPN;N;30;E;N;Col;Con;0
Shusaku Nishikawa;G;JPN;N;40;E;S;Rbo;Con;0
Yoshiaki Arai;G;JPN;N;30;D;N;Ref;Con;0
Atsushi Inagaki;L;JPN;N;21;D;N;Cru;Vel;0
Eiichi Katayama;L;JPN;N;34;D;N;Pos;Res;0
Kotaro Hayashi;L;JPN;N;25;D;S;Mar;For;0
Miki Yamane;L;JPN;N;32;D;N;Cru;For;0
Danilo Boza;Z;BRA;N;28;D;S;Des;Vel;0
Kenta Nemoto;Z;JPN;N;23;E;N;Pos;Imp;0
Kota Kudo;Z;JPN;N;23;E;S;Cab;Vel;0
Luka Didulica;Z;AUS;N;18;D;N;Cab;Vel;0
Reon Tanaka;Z;JPN;N;19;D;N;Mar;For;0
Yoshitaka Tanaka;Z;JPN;N;18;D;N;Cab;For;0
Yuta Miyamoto;Z;JPN;N;26;D;S;Pos;Vel;0
Hayate Ueki;V;JPN;N;22;E;N;Pas;Con;0
Kaito Yasui;V;JPN;N;26;D;S;Des;Res;0
Samuel Gustafson;V;SWE;N;31;D;N;Pas;Vis;0
Shuta Sasa;V;JPN;N;19;D;S;Des;For;0
Takeshi Wada;V;JPN;N;17;D;N;Pas;Vis;0
Jumpei Hayakawa;M;JPN;N;20;E;N;Arm;Agi;0
Matheus Savio;M;BRA;N;29;D;N;Arm;Res;5
Ryoma Watanabe;M;JPN;N;29;A;S;Chu;Res;0
Tatsuki Seko;M;JPN;N;28;D;N;Pas;Vis;0
Yoichi Naganuma;M;JPN;N;29;D;N;Pas;Agi;0
Kota Mizunuma;P;JPN;N;36;D;N;Cru;Agi;5
Takuro Kaneko;P;JPN;N;29;E;S;Dri;Ace;0
Ado Onaiwu;A;JPN;N;30;D;N;Pas;For;0
Harumi Minamino;A;JPN;N;22;E;S;Chu;Res;0
Hiiro Komori;A;JPN;N;26;D;S;Fin;Fri;6
Renji Hidano;A;JPN;N;22;E;N;Fin;Vel;0
