Sporting;PRT;91;José Alvalade;Rui Borges;PRT;008056;FFFFFF;52000
Diego Callai;G;BRA;N;22;D;N;Col;Con;0
Kaique Pereira;G;BRA;N;23;A;N;Ref;Fle;0
Rui Silva;G;PRT;N;32;E;S;Ref;Con;0
Georgios Vagiannidis;L;GRC;N;24;D;S;Pas;Agi;0
Iván Fresneda;L;ESP;N;21;D;N;Pas;Vel;0
Maxi Araújo;L;URY;N;26;E;S;Pas;Ace;0
Moncef Zekri;L;MAR;N;17;E;N;Des;For;0
Nuno Santos;L;PRT;N;31;E;N;Cru;Ace;4
Rodrigo Dias;L;PRT;N;21;E;N;Des;Res;0
Eduardo Quaresma;Z;PRT;N;24;D;S;Des;Con;0
Gonçalo Inácio;Z;PRT;S;25;E;S;Des;For;0
Ibrahima Ba;Z;SEN;N;21;D;N;Ant;For;0
Zeno Debast;Z;BEL;N;22;D;N;Mar;Res;0
Sergi Altimira;V;ESP;N;25;D;S;Des;Vis;0
Silas Andersen;V;DNK;N;22;D;N;Chu;Res;0
Flávio Gonçalves;M;PRT;N;19;D;S;Fin;Fri;0
Issa Doumbia;M;ITA;N;22;D;S;Fin;Res;0
João Simões;M;PRT;N;19;E;N;Pas;Agi;0
Pedro Lima;M;BRA;N;23;E;N;Fin;Fri;0
Rodrigo Zalazar;M;URY;S;27;D;S;Dri;Cri;0
Sotiris Alexandropoulos;M;GRC;N;24;D;N;Pas;Res;0
Geny Catamo;P;MOZ;N;25;E;S;Fin;Agi;0
Jesse Derry;P;ENG;N;19;D;N;Dri;Agi;0
Luís Guilherme;P;BRA;N;20;E;N;Cru;Cri;0
Nestory Irankunda;P;AUS;N;20;D;N;Dri;Ace;0
Salvador Blopa;P;PRT;N;19;D;N;Arm;Vel;0
Fotis Ioannidis;A;GRC;N;26;A;S;Pas;For;0
Luis Suárez;A;COL;S;28;D;N;Fin;Vel;0
Rafael Nel;A;PRT;N;21;D;N;Fin;Fri;0
