Torino;ITA;84;Olimpico Grande Torino;Ignazio Abate;ITA;771C21;FFFFFF;28000
Alberto Paleari;G;ITA;N;33;D;S;Ref;Con;0
Diego Mascardi;G;ITA;N;19;D;N;Ref;Con;0
Franco Israel;G;URY;N;26;D;N;Ref;Fle;0
Lapo Siviero;G;ITA;N;19;D;N;Ref;Fle;0
Lucas Perri;G;BRA;N;28;D;N;Col;Con;0
Cristiano Biraghi;L;ITA;N;33;E;S;Cru;Res;0
Nathan Patterson;L;SCT;N;24;D;N;Des;Vel;0
Niccolò Fortini;L;ITA;N;20;D;N;Cru;Vel;0
Rafik Belghali;L;DZA;N;24;D;N;Cru;Vel;0
Ardian Ismajli;Z;ALB;N;29;D;S;Ant;Con;0
Eray Cömert;Z;CHE;N;28;D;S;Des;Con;0
Pietro Comuzzo;Z;ITA;N;21;D;N;Mar;For;0
Saúl Coco;Z;GNQ;N;27;D;S;Ant;Con;0
Rolando Mandragora;V;ITA;N;29;E;N;Chu;Vis;0
Alessio Cacciamani;M;ITA;N;19;D;N;Fin;Res;0
Cesare Casadei;M;ITA;N;23;D;S;Fin;Res;0
Daniel Bragança;M;PRT;N;27;E;N;Pas;Vis;0
Emirhan İlkhan;M;TUR;N;22;D;N;Pas;Vis;0
Gaetano Oristanio;M;ITA;N;23;E;N;Dri;Cri;0
Gvidas Gineitis;M;LTU;N;22;E;N;Pas;Res;0
Kian Fitz-Jim;M;NLD;N;23;D;N;Dri;Agi;0
Nikola Vlašić;M;HRV;N;28;D;S;Fin;Cri;0
Tino Anjorin;M;ENG;N;24;D;N;Arm;Vis;0
Zakaria Aboukhlal;P;MAR;N;26;A;S;Dri;Ace;0
Ché Adams;A;SCT;N;30;D;S;Fin;For;0
Duván Zapata;A;COL;N;35;D;S;Fin;For;0
Giovanni Simeone;A;ARG;N;31;D;S;Fin;Res;0
Pietro Pellegri;A;ITA;N;25;D;N;Chu;For;0
Sandro Kulenović;A;HRV;N;26;D;N;Pas;For;0
