Maguary;BRA;46;Arthur Tavares;Humberto Targino;BRA;024293;FFFFFF;4000
Bruno Lopes;G;BRA;N;24;D;S;Ref;Fle;0
Keu;G;BRA;N;39;E;N;Col;Con;0
Léo Lopes;G;BRA;N;28;D;N;Ref;Con;0
Caio Felipe;L;BRA;N;27;E;S;Mar;Vel;0
Davyson;L;BRA;N;22;E;N;Mar;Vel;0
Deyvson;L;BRA;N;24;D;N;Mar;For;0
João Batista;L;BRA;N;22;E;N;Pas;Agi;0
Lucas Kawan;L;BRA;N;23;D;N;Cru;Vel;0
Rhuan Rodrigues;L;BRA;N;27;D;N;Mar;Res;0
Rychelmy Rocha;L;BRA;N;24;E;S;Cru;Agi;0
Tiago Cametá;L;BRA;N;34;D;N;Pas;Res;0
Guedes;Z;BRA;N;24;D;S;Des;For;0
Mateus Henrique;Z;BRA;N;27;D;S;Mar;Res;0
Mauricio Pinto;Z;BRA;N;29;D;S;Cab;Imp;0
Iago Felipe;V;BRA;N;25;D;S;Des;Agi;0
Richardson;V;BRA;N;22;D;N;Ant;Con;0
Ítalo;V;BRA;N;24;D;S;Mar;For;0
Alejandro Santana Viniegra;M;MEX;N;24;D;N;Pas;Agi;0
Memo;M;BRA;N;38;D;N;Pas;Vis;0
Renato Henrique;M;BRA;N;32;D;S;Arm;Vis;0
Francisco;P;BRA;N;22;A;S;Dri;Ace;0
Henrique Paraíba;P;BRA;N;35;E;N;Cru;Res;0
Histone;P;BRA;N;26;D;N;Pas;Vel;0
Luiz Henrique;P;BRA;N;25;A;N;Dri;Agi;0
Vitinho;P;BRA;N;23;D;N;Pas;Vel;0
Hericlis;A;BRA;N;30;E;N;Fin;For;0
Philippe Costa;A;BRA;N;26;D;N;Fin;Vel;0
Vinicius Kanu;A;BRA;N;23;D;S;Fin;Imp;0
Welberty Batata;A;BRA;N;24;D;N;Chu;Vel;0
