Al-Hilal;SAU;86;Kingdom Arena;Simone Inzaghi;ITA;0028EF;FFFFFF;30000
Mohammed Al-Owais;G;SAU;N;34;E;N;Ref;Fle;0
Mohammed Al-Yami;G;SAU;N;28;D;N;Col;Con;0
Rayan Al-Dossary;G;SAU;N;22;D;N;Col;Imp;0
Yassine Bounou;G;MAR;S;35;E;S;Ref;Fri;1
Hamad Al-Yami;L;SAU;N;27;D;N;Mar;Agi;0
Mohamed Al-Sarnukh;L;SAU;N;19;D;N;Pos;Agi;0
Mohammed Mahzari;L;SAU;N;24;D;N;Des;For;0
Moteb Al-Harbi;L;SAU;N;26;E;S;Cru;Res;0
Theo Hernández;L;FRA;S;28;E;S;Cru;Vel;2
Ali Lajami;Z;SAU;N;30;D;N;Ant;Vel;0
Hassan Tambakti;Z;SAU;N;27;D;S;Pos;Vel;0
Kalidou Koulibaly;Z;SEN;S;35;D;S;Des;For;3
Yusuf Akçiçek;Z;TUR;N;20;E;N;Cab;Imp;0
Rúben Neves;V;PRT;N;29;D;S;Pas;Vis;0
Milinković-Savić;M;SRB;N;31;D;S;Fin;Res;4
Mohamed Kanno;M;SAU;N;31;D;S;Fin;Res;0
Murad Al-Hawsawi;M;SAU;N;25;D;N;Pas;Res;0
Nasser Al-Dawsari;M;SAU;N;27;E;S;Pas;Res;0
Saïmon Bouabré;M;FRA;N;20;D;N;Arm;Agi;0
Abdullah Al-Anazi;P;SAU;N;23;D;N;Arm;Ace;0
Nawaf Al-Habashi;P;SAU;N;28;D;N;Pas;Agi;0
Sabri Dahal;P;SAU;N;18;D;N;Arm;Agi;0
Salem Al-Dawsari;P;SAU;S;34;D;S;Fin;Cri;0
Sultan Mandash;P;SAU;N;31;E;N;Fin;Res;0
Summerville;P;NLD;N;24;D;N;Dri;Vel;0
Kader Meïté;A;CIV;N;18;D;N;Cab;For;0
Ollie Watkins;A;ENG;N;30;D;S;Fin;Vel;6
