Kocaelispor;TUR;76;Kocaeli Stadyumu;Selçuk İnan;TUR;008751;000000;34500
Aleksandar Jovanovic;G;SRB;N;33;D;N;Ref;Imp;0
Onurcan Piri;G;TUR;N;31;D;N;Rbo;Fle;0
Serhat Öztaşdelen;G;TUR;N;21;D;S;Ref;Fle;0
Talha Polat;G;TUR;N;19;D;N;Col;Fle;0
Massadio Haïdara;L;MLI;N;33;E;S;Cru;For;0
Muharrem Cinan;L;TUR;N;28;E;N;Cru;Ace;0
Anfernee Dijksteel;Z;SUR;N;29;D;S;Mar;For;0
Emir Ortakaya;Z;TUR;N;22;E;N;Cab;Res;0
Matej Maglica;Z;HRV;N;27;E;N;Cab;Imp;0
Onur Öztonga;Z;TUR;N;26;D;N;Cab;Vel;0
Tanguy Zoukrou;Z;FRA;N;23;D;S;Mar;Res;0
Mahamadou Susoho;V;ESP;N;21;D;N;Ant;For;0
Show;V;AGO;N;27;D;S;Mar;Agi;0
Berkan Kutlu;M;TUR;N;28;E;N;Arm;Fri;0
Ege Bilim;M;TUR;N;20;E;N;Chu;Vis;0
Habib Keïta;M;MLI;N;24;E;N;Pas;Cri;0
Samet Yalçın;M;TUR;N;32;D;N;Dri;Fri;0
Tayfur Bingöl;M;TUR;N;33;D;S;Pas;Res;0
Uğur Kaan Yıldız;M;TUR;N;24;D;S;Fin;Cri;0
Bedirhan Yıldız;P;TUR;N;21;D;N;Arm;Ace;0
Bünyamin Dalkılıç;P;TUR;N;20;E;N;Cru;Agi;0
Dan Agyei;P;GHA;N;29;E;S;Fin;Vel;0
Gonçalo Sousa;P;PRT;N;20;E;N;Arm;Cri;0
Haydar Karataş;P;TUR;N;19;D;N;Pas;Cri;0
Makana Baku;P;DEU;N;28;D;S;Dri;Vel;0
Rigoberto Rivas;P;HND;N;28;D;S;Dri;Ace;0
Arda Özyar;A;TUR;N;19;D;N;Fin;For;0
Bruno Petkovic;A;HRV;N;31;D;N;Cab;Imp;0
Florian Ayé;A;FRA;N;29;D;S;Fin;For;0
Metehan Altunbaş;A;TUR;N;23;D;N;Fin;For;0
