Barcelona;ESP;96;Spotify Camp Nou;Hansi Flick;DEU;004C99;FFFFFF;100000
Dominik Livakovic;G;HRV;N;31;D;N;Ref;Fri;1
Joan García;G;ESP;N;25;D;S;Ref;Fle;0
Szczęsny;G;POL;N;36;D;N;Col;Con;0
Alejandro Balde;L;ESP;N;22;E;N;Pas;Agi;0
João Cancelo;L;PRT;S;32;D;N;Pas;For;0
Jules Koundé;L;FRA;N;27;D;N;Pas;Res;0
Xavi Espart;L;ESP;N;19;D;S;Pas;Agi;0
Christensen;Z;DNK;N;30;D;S;Cab;Imp;0
Eric García;Z;ESP;N;25;D;S;Des;For;0
Gerard Martín;Z;ESP;N;24;E;S;Mar;Res;0
Pau Cubarsí;Z;ESP;N;19;D;N;Mar;Con;0
Marc Bernal;V;ESP;N;19;E;S;Des;Res;0
Marc Casadó;V;ESP;N;22;D;N;Pas;Agi;0
Rodri;V;ESP;S;30;D;N;Chu;Vis;4
Brian Fariñas;M;ESP;N;20;D;N;Pas;Res;0
Dani Olmo;M;ESP;N;28;D;N;Fin;Vis;0
Fermín López;M;ESP;N;23;D;S;Pas;Vis;0
Frenkie de Jong;M;NLD;S;29;D;N;Pas;Agi;0
Gavi;M;ESP;N;22;D;N;Dri;Res;0
Pedri;M;ESP;S;23;D;S;Pas;Cri;0
Anthony Gordon;P;ENG;S;25;D;S;Pas;Vel;0
Jesse Bisiwu;P;BEL;N;18;D;N;Dri;Ace;0
Karim Adeyemi;P;DEU;N;24;E;N;Dri;Agi;0
Lamine Yamal;P;ESP;S;19;E;S;Dri;Vel;0
Raphinha;P;BRA;S;29;E;S;Fin;Vel;0
Roony Bardghji;P;SWE;N;20;E;N;Dri;Cri;0
Gabriel Jesus;A;BRA;N;29;D;N;Fin;Vel;0
Hamza Abdelkarim;A;EGY;N;18;A;N;Fin;For;0
