Bournemouth;ENG;91;Vitality Stadium;Marco Rose;DEU;BF0C10;000000;11000
Djordje Petrovic;G;SRB;N;26;D;S;Ref;Fle;0
Fraser Forster;G;ENG;N;38;D;N;Col;Con;0
Michele Di Gregorio;G;ITA;N;28;D;N;Ref;Con;1
Adam Smith;L;ENG;N;35;D;N;Pos;Ace;0
Adrien Truffert;L;FRA;N;24;E;S;Des;Agi;0
Juanlu Sánchez;L;ESP;N;22;D;N;Cru;Ace;0
Julio Soler;L;ARG;N;21;E;N;Des;Agi;0
Julián Araujo;L;MEX;N;24;D;N;Des;Agi;0
Max Aarons;L;ENG;N;26;D;N;Des;Agi;0
António Silva;Z;PRT;S;22;D;N;Cab;Vel;3
Bafodé Diakité;Z;FRA;N;25;D;S;Pos;For;0
James Hill;Z;ENG;N;24;D;S;Ant;Imp;0
Veljko Milosavljevic;Z;SRB;N;19;D;N;Ant;Res;0
Ben Winterburn;V;ENG;N;21;D;N;Mar;Con;0
Tyler Adams;V;USA;N;27;D;S;Chu;For;0
Alex Scott;M;ENG;N;22;D;S;Chu;Agi;0
Alex Tóth;M;HUN;N;20;D;N;Arm;Vis;0
Justin Kluivert;M;NLD;N;27;A;N;Fin;Agi;0
Lewis Cook;M;ENG;N;29;D;N;Chu;Vis;0
Marcus Tavernier;M;ENG;N;27;E;S;Chu;Vis;0
Ryan Christie;M;SCT;N;31;E;N;Chu;Vis;0
Amine Adli;P;MAR;N;26;E;S;Fin;Agi;0
Ben Gannon-Doak;P;SCT;N;20;D;N;Pas;Cri;0
David Brooks;P;WLS;N;29;E;S;Cru;Agi;0
Rayan;P;BRA;N;19;E;N;Fin;Vel;5
Daniel Jebbison;A;CAN;N;22;D;N;Pas;For;0
Evanilson;A;BRA;N;26;A;S;Pas;For;0
Junior Kroupi;A;FRA;N;20;D;S;Chu;Imp;0
Álvaro Rodríguez;A;URY;N;22;E;N;Cab;For;0
