Aston Villa;ENG;93;Villa Park;Unai Emery;ESP;670E36;95BFE5;42500
Marco Bizot;G;NLD;N;35;D;S;Rbo;Imp;0
Zion Suzuki;G;JPN;S;23;D;N;Rbo;Imp;0
Aaron Wan-Bissaka;L;COD;N;28;D;S;Des;Agi;0
Ian Maatsen;L;NLD;N;24;E;S;Des;Agi;0
Matteo Ruggeri;L;ITA;N;24;E;N;Cru;Agi;0
Matty Cash;L;POL;N;29;D;S;Pos;Agi;0
Harwood-Bellis;Z;ENG;N;24;D;N;Cab;Imp;0
Modou Cissé;Z;SEN;N;21;D;N;Des;For;0
Pau Torres;Z;ESP;N;29;E;S;Mar;For;4
Tyrone Mings;Z;ENG;N;33;E;N;Pos;Con;0
Victor Lindelöf;Z;SWE;N;32;D;S;Pos;Con;0
Amadou Onana;V;BEL;N;24;D;S;Ant;Agi;0
Boubacar Kamara;V;FRA;N;26;D;S;Des;Con;0
João Gomes;V;BRA;N;25;D;N;Des;Vis;3
Lamare Bogarde;V;NLD;N;22;D;S;Des;Agi;0
Emiliano Buendía;M;ARG;N;29;D;S;Pas;Vis;0
Johan Manzambi;M;CHE;S;20;D;N;Dri;Agi;0
John McGinn;M;SCT;N;31;E;S;Pas;Res;2
Leon Goretzka;M;DEU;N;31;D;N;Pas;Fri;0
Ross Barkley;M;ENG;N;32;D;N;Dri;Vis;0
Alejandro Garnacho;P;ARG;N;22;D;N;Dri;Vel;0
Alysson;P;BRA;N;20;E;N;Dri;Vel;0
Ibrahim Mbaye;P;SEN;N;18;D;N;Pas;Agi;0
Leon Bailey;P;JAM;N;29;E;N;Dri;Vel;0
Brian Madjo;A;ENG;N;17;D;N;Fin;For;0
Nicolas Jackson;A;SEN;N;25;D;N;Fin;Res;0
Tammy Abraham;A;ENG;N;28;D;N;Fin;Res;0
