Ingolstadt;DEU;64;Audi Sportpark;Sabrina Wittmann;DEU;D71920;000000;15000
David Klein;G;DEU;N;20;D;S;Rbo;Fle;0
Markus Ponath;G;DEU;N;25;D;N;Col;Con;0
Rafael Eßlinger;G;DEU;N;20;D;N;Ref;Imp;0
Davide-Danilo Sekulovic;L;DEU;N;21;D;S;Cru;Ace;0
Keanan Bennetts;L;DEU;N;27;E;S;Pas;Agi;0
Linus Rosenlöcher;L;DEU;N;25;E;N;Mar;For;0
Noel Lakatos;L;HUN;N;18;A;N;Des;Vel;0
Yannick Deichmann;L;DEU;N;32;D;N;Pos;Res;0
Elias Decker;Z;DEU;N;20;D;N;Ant;Vel;0
Georgios Antzoulas;Z;GRC;N;26;D;S;Des;For;0
Jasper Maljojoki;Z;FIN;N;24;D;N;Mar;Res;0
Jonas Scholz;Z;DEU;N;27;E;S;Pos;Con;0
Lukas Fröde;Z;DEU;N;31;D;N;Des;For;0
Simon Lorenz;Z;DEU;N;29;D;S;Cab;Imp;0
Tomislav Bagaric;Z;DEU;N;19;D;N;Mar;Imp;0
Emre Gül;V;TUR;N;21;A;S;Des;Agi;0
Max Plath;V;DEU;N;21;D;N;Ant;Vis;0
Vinko Sapina;V;DEU;N;31;D;S;Mar;Res;0
Benjamin Kanuric;M;AUT;N;23;D;N;Fin;Fri;0
Fredrik Carlsen;M;DNK;N;24;D;S;Pas;Cri;0
Dennis Kaygin;P;DEU;N;22;D;N;Arm;Ace;0
Jong-min Seo;P;KOR;N;24;A;N;Dri;Agi;0
Joseph Ganda;P;ISR;N;29;A;N;Cru;Vel;0
Nishan Velupillay;P;AUS;N;25;D;N;Fin;Agi;0
Sejdo Durakov;P;DEU;N;19;D;N;Dri;Ace;0
Lars Lokotsch;A;DEU;N;30;A;S;Fin;Imp;0
Mason Toye;A;USA;N;27;E;N;Chu;Vel;0
Obed Chidindu Ugondu;A;NGA;N;24;D;S;Cab;For;0
Ognjen Drakulic;A;SRB;N;20;D;N;Pas;Fri;0
