Santa Catarina;BRA;48;Alfredo João Krieck;Jordã Guerreiro;BRA;F26522;000000;4000
Marcos de Paula;G;BRA;N;33;D;S;Rbo;Con;0
Roberto Teixeira;G;BRA;N;21;D;N;Ref;Fle;0
Vinicius Machado;G;BRA;N;26;D;N;Col;Imp;0
DVD;L;BRA;N;21;E;N;Mar;Agi;0
Iago Henrique;L;BRA;N;23;D;N;Pos;Vel;0
Juninho;L;BRA;N;29;D;S;Pas;Res;0
Matheus Coruja;L;BRA;N;26;E;S;Des;For;0
Piauí;L;BRA;N;21;E;S;Cru;Ace;0
Adriel;Z;BRA;N;25;D;S;Des;Con;0
Beto;Z;BRA;N;31;D;N;Pos;Imp;0
Hyan;Z;BRA;N;21;D;N;Des;Vel;0
Kauan;Z;BRA;N;18;D;N;Cab;Con;0
Kauê Oliveira;Z;BRA;N;22;D;S;Ant;Vel;0
Zé Leandro;Z;BRA;N;28;E;S;Mar;For;0
Breno Santos;V;BRA;N;21;D;N;Des;Res;0
Henrique Rodrigues;V;BRA;N;23;D;N;Pas;Vis;0
Brener;M;BRA;N;26;D;N;Fin;Fri;0
Cleberson;M;BRA;N;24;D;S;Arm;Vis;0
Iarley;M;BRA;N;19;D;N;Chu;Cri;0
Mendes;M;BRA;N;31;A;S;Pas;Res;0
Pedro Fabrício;M;BRA;N;18;D;N;Pas;Agi;0
Renan;M;BRA;N;22;E;S;Dri;Agi;0
Ruan Oliveira;M;BRA;N;26;D;N;Arm;Res;0
Gui Nascimento;P;BRA;N;24;D;S;Dri;Vel;0
Marquinho;P;BRA;N;27;D;N;Cru;Ace;0
Wagner Pinote;P;BRA;N;25;D;N;Dri;Agi;0
Doupit;A;BRA;N;19;A;N;Fin;Vel;0
Golden;A;NGA;N;23;D;N;Dri;For;0
Luãn;A;BRA;N;25;D;N;Cab;Imp;0
Yhago;A;BRA;N;23;A;N;Fin;Fri;0
