Mitre;ARG;53;Doctores Castiglione;Claudio Biaggio;ARG;000000;FFCC00;21000
Gastón Unrein;G;ARG;N;21;D;N;Sgo;Fle;0
Ignacio Pietrobono;G;ARG;N;34;D;S;Col;Con;0
Joaquín Ledesma;G;ARG;N;36;E;N;Ref;Imp;0
Brian Mieres;L;ARG;N;30;D;N;Cru;Agi;0
Franco Ferrari;L;ARG;N;33;E;S;Pos;Res;0
Gonzalo Valdivia;L;ARG;N;24;E;N;Mar;For;0
Luciano Correa;L;ARG;N;23;E;N;Cru;For;0
Mateo Maldonado;L;ARG;N;20;E;N;Des;For;0
Daniel Abello;Z;ARG;N;31;E;N;Des;Res;0
Gianfranco Herdt;Z;ARG;N;26;D;N;Cab;Vel;0
Martín Vázquez;Z;ARG;N;23;D;S;Pos;For;0
Maximiliano Romero;Z;ARG;N;31;D;S;Ant;Imp;0
Pablo Minissale;Z;ARG;N;25;D;S;Mar;Vel;0
Segundo Rodríguez;Z;ARG;N;22;D;N;Cab;Res;0
Tiago Ferreyra;Z;ARG;N;23;E;S;Pos;For;0
Juan Alessandroni;V;ARG;N;37;D;S;Mar;Res;0
Ezequiel González;M;ARG;N;24;D;N;Pas;Cri;0
Agustín Ramírez;P;ARG;N;25;D;N;Fin;Vel;0
Enzo Avaro;P;ARG;N;26;D;N;Dri;Res;0
Marcos Machado;P;ARG;N;24;D;S;Pas;Cri;0
Mateo Montenegro;P;ARG;N;27;D;S;Fin;Ace;0
Mauro Barraza;P;ARG;N;29;D;N;Arm;Cri;0
Rodrigo González;P;ARG;N;25;D;S;Dri;Vel;0
Santiago Rosales;P;ARG;N;30;D;S;Pas;Cri;0
Juan Pablo Zárate;A;ARG;N;35;D;N;Chu;Imp;0
