Köln;DEU;82;RheinEnergieSTADION;René Wagner;DEU;ED1C23;FFFFFF;49500
Martin James;G;FRA;N;18;D;N;Col;Fle;0
Marvin Schwäbe;G;DEU;N;31;D;S;Sgo;Fle;0
Matthias Köbbing;G;DEU;N;29;A;N;Rbo;Fri;0
Ron-Robert Zieler;G;DEU;N;37;D;N;Col;Con;0
Borna Sosa;L;HRV;N;28;E;N;Cru;Vel;0
Gideon Mensah;L;GHA;N;28;E;N;Cru;For;0
Sebastian Sebulonsen;L;NOR;N;26;D;S;Cru;Agi;0
Elias Bakatukanda;Z;COD;N;22;A;N;Cab;Imp;0
Jahmai Simpson-Pusey;Z;ENG;N;20;D;N;Des;For;0
Joël Schmied;Z;CHE;N;27;D;S;Ant;For;0
Julian Pauli;Z;DEU;N;21;D;N;Ant;Res;0
Luka Lochoshvili;Z;GEO;N;28;E;N;Des;Res;0
Rav van den Berg;Z;NLD;N;22;D;S;Pos;Vel;0
Timo Hübers;Z;DEU;N;30;D;N;Ant;Res;0
Ellyes Skhiri;V;TUN;N;31;D;N;Ant;For;0
Paul Okon-Engstler;V;AUS;N;21;E;N;Pas;For;0
Tom Krauß;V;DEU;N;25;D;S;Pas;For;0
Castro-Montes;M;BEL;N;29;D;N;Dri;Agi;0
Ísak Jóhannesson;M;ISL;N;23;E;S;Pas;Fri;0
Jan Thielmann;P;DEU;N;24;D;S;Pas;Vel;0
Linton Maina;P;DEU;N;27;D;S;Cru;Ace;0
Marius Bülter;P;DEU;N;33;D;S;Dri;Cri;0
Mikey Moore;P;ENG;N;18;D;N;Dri;Agi;0
Reigan Heskey;P;ENG;N;18;D;N;Arm;Vel;0
Said El Mala;P;DEU;N;19;A;S;Dri;Agi;0
Imad Rondic;A;BIH;N;27;E;N;Cab;Imp;0
Luca Waldschmidt;A;DEU;N;30;E;N;Cab;Imp;0
Malek El Mala;A;DEU;N;21;D;N;Chu;Fri;0
Ragnar Ache;A;DEU;N;28;D;S;Cab;Vel;0
Thijs Dallinga;A;NLD;N;25;D;N;Fin;Vel;0
