Coventry City;ENG;87;CBS Arena;Frank Lampard;ENG;FFFFFF;000000;32500
Ben Wilson;G;ENG;N;33;D;S;Col;Con;0
Daniel Bentley;G;ENG;N;33;D;N;Ref;Fle;0
Jake Bidwell;L;ENG;N;33;E;N;Des;For;0
Jay Dasilva;L;WLS;N;28;E;S;Cru;Agi;0
Kaine Kesler-Hayden;L;ENG;N;23;D;N;Cru;Ace;0
Miguel Ángel Brau;L;ESP;N;24;E;N;Pas;Agi;0
Milan van Ewijk;L;NLD;S;25;D;N;Cru;Vel;0
Aurèle Amenda;Z;CHE;N;22;D;N;Mar;Vel;0
Bobby Thomas;Z;ENG;N;25;D;S;Cab;Imp;0
Ethan Pinnock;Z;JAM;N;33;E;N;Cab;Imp;0
Joel Latibeaudiere;Z;JAM;N;26;D;N;Ant;Con;0
Luke Woolfenden;Z;ENG;N;27;D;N;Pos;Con;0
Stephen Mfuni;Z;ENG;N;18;E;N;Ant;Imp;0
Matt Grimes;V;ENG;N;30;E;S;Pas;Vis;0
Caleb Yirenkyi;M;GHA;N;20;D;S;Pas;Res;0
Ephron Mason-Clark;M;ENG;N;26;D;S;Dri;Agi;0
Frank Onyeka;M;NGA;N;28;D;N;Pas;Res;0
Gustavo Hamer;M;NLD;N;29;D;N;Arm;Vis;0
Jack Rudoni;M;ENG;N;25;E;S;Arm;Res;0
Josh Eccles;M;ENG;N;26;D;N;Pas;Vis;0
Kai Andrews;M;WLS;N;19;D;N;Pas;Agi;0
Victor Torp;M;DNK;N;26;D;S;Chu;Vis;0
Borges Rodrigues;P;AUS;N;22;D;N;Dri;Vel;0
Loum Tchaouna;P;FRA;N;22;E;N;Cru;Cri;0
Tatsuhiro Sakamoto;P;JPN;N;29;E;S;Dri;Agi;0
Ellis Simms;A;ENG;N;25;D;N;Fin;For;0
Haji Wright;A;USA;N;28;D;S;Fin;Vel;0
Sidiki Chérif;A;GIN;N;19;D;S;Cab;Imp;0
Taiwo Awoniyi;A;NGA;N;29;D;N;Cab;Vel;0
Thomas-Asante;A;GHA;N;27;D;N;Fin;Res;0
