Amazonas;BRA;59;Carlos Zamith;Bebeto Sauthier;BRA;FEC000;000000;10000
Axel Lopes;G;BRA;N;33;D;N;Col;Imp;0
Renan;G;BRA;N;37;D;S;Ref;Con;0
Alyson;L;BRA;N;30;E;N;Cru;Ace;0
Iury;L;BRA;N;33;D;S;Des;Res;0
Kaio Luciano;L;BRA;N;21;D;N;Des;Agi;0
Rafael Furlan;L;BRA;N;31;E;S;Cru;Vel;0
Raylison;L;BRA;N;19;D;N;Des;Ace;0
Ítalo Silva;L;BRA;N;35;E;N;Cru;For;0
Diego Ivo;Z;BRA;N;37;D;S;Cab;For;0
Rafael Vitor;Z;BRA;N;33;D;S;Ant;Imp;0
Vitor Neves;V;BRA;N;21;D;S;Pas;Agi;0
Yaider Mena;V;COL;N;21;D;N;Des;Agi;0
Bernardo Paias;M;BRA;N;21;D;N;Pas;Agi;0
Fabinho;M;BRA;N;30;D;S;Arm;Vis;0
Guga;M;BRA;N;20;D;N;Dri;Agi;0
Ignacio Panzariello;M;URY;N;36;D;S;Pas;Vis;0
Jhan Ibarguen;M;COL;N;21;D;N;Pas;Res;0
Jhonny Lucas;M;BRA;N;26;D;N;Arm;Res;0
Patricio Núñez;M;ARG;N;27;D;N;Arm;Cri;0
Rafael Tavares;M;BRA;N;35;E;S;Arm;Cri;0
Gabriel Cipriano;P;BRA;N;26;D;N;Dri;Vel;0
Kayan;P;BRA;N;21;D;N;Dri;Ace;0
Léo Guerra;P;BRA;N;23;D;N;Dri;Vel;0
Nicolás Schiappacasse;P;URY;N;27;D;N;Dri;Cri;0
Victor Jesus;P;BRA;N;23;D;N;Cru;Ace;0
Vinícius Leite;P;BRA;N;32;A;S;Cru;Cri;0
Adrien Graffin;A;USA;N;22;E;N;Pas;For;0
Alison Matheus;A;BRA;N;22;D;N;Fin;Vel;0
Ezequiel;A;BRA;N;23;D;N;Cab;Imp;0
Ronaldo;A;BRA;N;35;D;S;Fin;Fri;0
