Portuguesa-RJ;BRA;47;Luso Brasileiro;Alfredo Sampaio;BRA;FFFFFF;009100;5000
Alexandre Azizi;G;BRA;N;30;D;N;Col;Fle;0
Bruno;G;BRA;N;31;D;S;Ref;Con;0
Vinícius Barreta;G;BRA;N;27;D;N;Col;Imp;0
Alex Reinaldo;L;BRA;N;35;D;N;Cru;Res;0
Diego Ferreira;L;BRA;N;30;D;N;Pas;Agi;0
Guilherme Santos;L;BRA;N;38;E;S;Cru;For;0
Lenon;L;BRA;N;36;D;S;Pos;Agi;0
Carlos Henrique;Z;BRA;N;32;D;S;Des;For;0
Jadson;Z;BRA;N;34;D;N;Cab;Imp;0
Jean;Z;BRA;N;22;E;N;Ant;Vel;0
Lucas Costa;Z;BRA;N;31;D;S;Pos;Con;0
Léo Cruz;Z;BRA;N;28;D;N;Mar;For;0
Patrick Ramos;Z;BRA;N;31;D;N;Des;Res;0
Henrique Rocha;V;BRA;N;27;D;S;Des;Res;0
Jobert;V;BRA;N;21;D;N;Pas;Agi;0
Vinícius Matheus;V;BRA;N;32;D;N;Ant;Con;0
Wellington Cézar;V;BRA;N;32;D;S;Mar;For;0
Anderson Rosa;M;BRA;N;33;E;S;Arm;Vis;0
Bruno Mota;M;BRA;N;31;E;N;Chu;Fri;0
Guilherme Silveira;M;BRA;N;26;D;S;Pas;Res;0
Hugo Iglesias;M;BRA;N;23;D;N;Pas;Vis;0
Juninho;M;BRA;N;24;D;N;Dri;Agi;0
Lucas Pereira;M;BRA;N;19;D;N;Pas;Vis;0
Romarinho;M;BRA;N;32;E;N;Pas;Vis;0
Willian;M;BRA;N;29;D;N;Pas;Agi;0
Kauê Dias;P;BRA;N;21;D;N;Dri;Ace;0
Lohan;A;BRA;N;30;D;S;Fin;For;0
Matheus Iacovelli;A;BRA;N;28;D;S;Dri;Vel;0
Miguel Souza;A;BRA;N;24;A;N;Pas;Vel;0
Uelber;A;BRA;N;28;D;N;Dri;Vel;0
