Sampdoria;ITA;71;Luigi Ferraris;Bernardo Corradi;ITA;515EE8;F5EBEB;33000
Elia Tantalocchi;G;ITA;N;22;D;N;Col;Con;0
Peter Vindahl;G;DNK;N;28;D;N;Ref;Con;0
Samuele Massolo;G;ITA;N;30;D;S;Col;Imp;0
Alessandro Di Pardo;L;ITA;N;27;D;N;Cru;Ace;0
Bjorn Meijer;L;NLD;N;23;E;N;Cru;Vel;0
Fabio Depaoli;L;ITA;N;29;D;S;Cru;Agi;0
Alessandro Riccio;Z;ITA;N;24;D;S;Mar;For;0
Alex Ferrari;Z;ITA;N;32;D;S;Ant;Con;0
Filippo Delli Carri;Z;ITA;N;27;E;S;Cab;Imp;0
Luca Ravanelli;Z;ITA;N;29;D;N;Cab;For;0
Mattia Viti;Z;ITA;N;24;E;N;Ant;Vel;0
Stefan Gartenmann;Z;CHE;N;29;D;N;Des;Con;0
Antoine Makoumbou;V;COG;N;28;D;S;Pas;Con;0
Oliver Abildgaard;V;DNK;N;30;E;S;Ant;For;0
Salvatore Esposito;V;ITA;N;25;D;N;Chu;Vis;0
Danel Sinani;M;LUX;N;29;E;S;Pas;Agi;0
Francesco Conti;M;ITA;N;21;D;N;Fin;Agi;0
Liam Henderson;M;SCT;N;30;D;S;Pas;Res;0
Manuel Cicconi;M;ITA;N;29;E;N;Arm;Agi;0
Nikola Sekulov;M;ITA;N;24;D;N;Arm;Cri;0
Yari Verschaeren;M;BEL;N;25;D;N;Arm;Agi;0
Lorenzo Insigne;P;ITA;N;35;D;S;Arm;Cri;0
Tjas Begic;P;SVN;N;23;D;N;Dri;Ace;0
Gennaro Tutino;A;ITA;N;29;D;N;Pas;Res;0
Tobias Lauritsen;A;NOR;N;28;D;S;Cab;For;0
