CD Nacional;PRT;78;Estádio da Madeira;João Gião;PRT;000000;ECBE00;5000
João Gonçalves;G;PRT;N;25;D;N;Ref;Fle;0
Renato Marin;G;ITA;N;20;D;S;Ref;Imp;0
Daniel de la Cruz;L;ECU;N;22;D;N;Mar;Vel;0
José Gomes;L;PRT;N;30;E;N;Cru;Res;0
Matias Silva;L;PRT;N;17;E;N;Des;For;0
Wesley Gasolina;L;BRA;N;26;D;S;Cru;Ace;0
Chico Gonçalves;Z;PRT;N;22;D;N;Pos;Con;0
Ivanildo Fernandes;Z;CPV;N;30;E;N;Mar;For;0
Léo Santos;Z;BRA;N;27;D;S;Des;For;0
Ulisses;Z;BRA;N;26;D;N;Mar;For;0
Zé Vítor;Z;BRA;N;25;E;S;Cab;Imp;0
Matheus Dias;V;BRA;N;24;D;S;Mar;Con;0
Chiheb Labidi;M;TUN;N;25;E;N;Pas;Vis;0
Danel Dongmo;M;CMR;N;25;E;N;Pas;Res;0
Daniel Jr;M;BRA;N;24;E;S;Dri;Agi;0
Deivison;M;BRA;N;20;D;N;Pas;Res;0
Filipe Soares;M;PRT;N;27;D;S;Pas;Agi;0
Joel Silva;M;PRT;N;23;E;N;Pas;Agi;0
Liziero;M;BRA;N;28;E;S;Pas;Vis;0
Matchoi Djaló;M;PRT;N;23;D;N;Dri;Agi;0
Mateus Iseppe;M;BRA;N;20;D;N;Arm;Agi;0
Miguel Baeza;M;ESP;N;26;E;S;Fin;Agi;0
Fernando Nava;P;BOL;N;22;D;N;Fin;Vel;0
Markus Jensen;P;DNK;N;21;A;S;Pas;Agi;0
Min-kyu Song;P;KOR;N;26;D;N;Pas;Res;0
Pablo Ruan;P;BRA;N;23;D;S;Dri;Vel;0
Stavros Gavriel;P;CYP;N;24;E;N;Dri;Ace;0
Watts;P;PRT;N;21;D;N;Pas;Agi;0
William Kokolo;P;FRA;N;26;E;N;Dri;Agi;0
Allen Obando;A;ECU;N;20;D;N;Pas;For;0
