Trofense;PRT;56;Estádio do CD Trofense;Cristiano Brito;PRT;DB0019;0F2460;5000
Manuel Baldé;G;GNB;N;23;D;S;Col;Imp;0
Ricardo Moura;G;PRT;N;37;D;N;Col;Con;0
André Rosa;L;BRA;N;25;D;N;Pas;Agi;0
Edu;L;PRT;N;26;E;N;Des;For;0
Emerson Buiu;L;BRA;N;20;D;N;Mar;Ace;0
Joel Oliveira;L;PRT;N;21;D;S;Des;Vel;0
Luís Silva;L;PRT;N;21;E;N;Pos;Agi;0
Miguel Pereira;L;PRT;N;30;D;N;Mar;For;0
Rafa Peixoto;L;PRT;N;21;D;N;Des;Vel;0
Samuca;L;STP;N;20;E;N;Pas;Vel;0
Tomás Oliveira;L;PRT;N;21;E;S;Pas;Agi;0
Wilson Oliveira;L;PRT;N;23;D;S;Mar;For;0
Agustín Granja;Z;URY;N;21;D;N;Des;Imp;0
Lucca Carvalho;Z;BRA;N;23;D;N;Mar;Con;0
Tiago Silva;Z;PRT;N;22;E;S;Pos;For;0
André Gomes;V;PRT;N;20;D;N;Des;Agi;0
Rafael Assis;V;BRA;N;35;D;N;Mar;Con;0
Saná Ufala;V;PRT;N;23;D;S;Des;For;0
Cristián Morán;M;USA;N;22;E;N;Pas;Vis;0
Diogo Nunes;M;PRT;N;23;D;S;Pas;Agi;0
Diogo Monteiro;P;PRT;N;22;D;N;Pas;Ace;0
Feliz;P;PRT;N;37;E;S;Arm;Cri;0
Jefer Gunjo;P;AGO;N;21;D;N;Dri;Agi;0
Jorge López;P;PRY;N;20;E;N;Pas;Ace;0
Juninho;P;BRA;N;20;D;S;Dri;Ace;0
Kauã Souza;P;BRA;N;20;D;N;Dri;Vel;0
Kiki;P;PRT;N;28;E;N;Pas;Cri;0
Leo Lopes;P;PRT;N;21;D;N;Pas;Agi;0
Nuninho;P;PRT;N;28;D;S;Dri;Agi;0
Moussa Diarra;A;MLI;N;27;D;S;Cab;For;0
