Lincoln City;ENG;76;LNER Stadium;Tom Shaw;ENG;FFFFFF;FE0000;10000
George Wickens;G;ENG;N;24;D;S;Ref;Con;0
Jamie Pardington;G;ENG;N;26;D;N;Ref;Imp;0
Joe Gauci;G;AUS;N;26;D;N;Ref;Con;0
Adam Reach;L;ENG;N;33;E;S;Cru;Ace;0
Callum Elder;L;AUS;N;31;E;N;Cru;Res;0
Josh Honohan;L;IRL;N;25;D;N;Mar;For;0
Tendayi Darikwa;L;ZWE;N;34;D;S;Pos;Res;0
Adam Jackson;Z;ENG;N;32;D;N;Ant;Imp;0
Andrei Coubiș;Z;ROU;N;22;D;N;Cab;Imp;0
Charlie Parks;Z;ENG;N;19;D;N;Pos;Con;0
Deji Elerewe;Z;ENG;N;22;D;S;Cab;For;0
Ryley Towler;Z;ENG;N;24;E;S;Pos;Con;0
Sonny Bradley;Z;ENG;N;34;E;N;Cab;Imp;0
Tom Hamer;Z;ENG;N;26;D;S;Des;For;0
Ivan Varfolomeev;V;UKR;N;22;D;S;Ant;Vis;0
Yunus Konak;V;TUR;N;20;D;N;Mar;Con;0
Conor McGrandles;M;SCT;N;30;D;S;Pas;Agi;0
Dom Jefferies;M;WLS;N;24;D;N;Dri;Agi;0
Tom Bayliss;M;ENG;N;27;D;N;Chu;Vis;0
Ben House;P;SCT;N;27;D;S;Fin;Agi;0
Reeco Hackett;P;LCA;N;28;E;N;Arm;Cri;0
Ethan Wheatley;A;ENG;N;20;D;N;Dri;Res;0
Freddie Draper;A;ENG;N;22;D;S;Fin;For;0
Mason Melia;A;IRL;N;18;D;N;Fin;Vel;0
Mikkel Ladefoged;A;DNK;N;23;D;N;Chu;Imp;0
Rob Street;A;ENG;N;24;D;S;Fin;For;0
Tanto Olaofe;A;ENG;N;26;D;N;Fin;Vel;0
