Velo Clube;BRA;47;Benitão;Cléber Gaúcho;BRA;D8373C;0CAC61;8000
Léo Steffen;G;BRA;N;26;D;N;Col;Fle;0
Paulo Vitor;G;BRA;N;35;D;S;Ref;Con;0
Felipe Pacajus;L;BRA;N;33;D;S;Mar;For;0
Ruan Souza;L;BRA;N;27;E;S;Cru;Vel;0
Carlos Henrique;Z;BRA;N;22;D;N;Ant;For;0
Sérgio Raphael;Z;BRA;N;33;A;S;Des;For;0
Thiago Timbó;Z;BRA;N;21;D;S;Pos;Imp;0
Mateus Norton;V;BRA;N;30;D;S;Des;For;0
Vinicius Toledo;V;BRA;N;21;D;N;Ant;Agi;0
João Igor;M;BRA;N;30;D;N;Pas;Vis;0
Matheus Firmino;M;BRA;N;27;D;S;Dri;Agi;0
Sillas;M;BRA;N;31;D;S;Arm;Vis;0
Vitor;M;BRA;N;23;E;N;Pas;Agi;0
Gabriel Canela;P;BRA;N;26;D;N;Pas;Agi;0
Jhoninha;P;BRA;N;24;D;S;Dri;Ace;0
Vitinho;P;BRA;N;25;D;S;Cru;Vel;0
David Lima;A;BRA;N;26;D;N;Dri;Vel;0
Flávio Souza;A;BRA;N;25;D;N;Cab;Imp;0
Lucas Duni;A;BRA;N;29;D;S;Fin;For;0
