Birmingham City;ENG;78;St. Andrew’s;Chris Davies;WLS;0700D1;FFFFFF;29000
Bradley Mayo;G;ENG;N;21;D;N;Col;Imp;0
James Beadle;G;ENG;N;22;D;N;Ref;Con;0
Ryan Allsop;G;ENG;N;34;D;S;Rbo;Con;0
Alex Cochrane;L;ENG;N;26;E;S;Cru;For;0
Bright Osayi-Samuel;L;NGA;N;28;D;N;Mar;Ace;0
Ethan Laird;L;ENG;N;24;D;N;Mar;Ace;0
Kristoffer Lund;L;USA;N;24;E;N;Cru;Vel;0
Lee Buchanan;L;ENG;N;25;E;N;Pos;For;0
Christoph Klarer;Z;AUT;N;26;D;S;Cab;Imp;0
Dael Fry;Z;ENG;N;28;D;S;Cab;For;0
Phil Neumann;Z;DEU;N;29;D;S;Cab;Vel;0
Taylor Gardner-Hickman;V;ENG;N;24;D;N;Mar;Res;0
Tomoki Iwata;V;JPN;N;29;D;S;Pas;Vis;0
Jhon Solís;M;COL;N;21;D;N;Dri;Res;0
Kanya Fujimoto;M;JPN;N;27;E;N;Arm;Vis;0
Marc Leonard;M;SCT;N;24;D;N;Pas;Res;0
Max Bird;M;ENG;N;25;E;N;Pas;Vis;0
Seung-ho Paik;M;KOR;N;29;D;S;Pas;Vis;0
Carlos Vicente;P;ESP;N;27;D;N;Fin;Ace;0
Demarai Gray;P;JAM;N;30;D;S;Cru;Cri;0
Liam Millar;P;CAN;N;26;D;N;Dri;Vel;0
Patrick Roberts;P;ENG;N;29;E;S;Dri;Cri;0
Scott Wright;P;SCT;N;28;D;N;Dri;Ace;0
August Priske;A;DNK;N;22;D;N;Fin;Imp;0
Jay Stansfield;A;ENG;N;23;D;S;Chu;Res;0
Luis Vázquez;A;ARG;N;24;D;N;Fin;For;0
Marvin Ducksch;A;DEU;N;32;D;S;Fin;Fri;0
