Ponte Preta;BRA;64;Moisés Lucarelli;Gilson Kleina;BRA;000000;FFFFFF;17500
Guilherme Viana;G;BRA;N;22;D;S;Col;Con;0
Vinicius Ferrari;G;BRA;N;23;D;N;Ref;Con;0
Danilo Barcelos;L;BRA;N;34;E;S;Cru;For;0
Diego Porfírio;L;BRA;N;26;E;S;Cru;Vel;0
Guilherme Martins;L;BRA;N;21;D;N;Pos;Agi;0
Kawann;L;BRA;N;21;D;N;Des;Agi;0
Kevyson;L;BRA;N;22;E;S;Cru;Agi;0
Thalys;L;BRA;N;26;D;S;Des;For;0
Lucas Cunha;Z;BRA;N;29;D;S;Pos;Con;0
Sergio Palacios;Z;COL;N;21;D;N;Ant;Vel;0
André Lima;V;BRA;N;26;A;S;Des;For;0
Murilo;V;BRA;N;27;E;S;Pas;Con;0
Rodrigo Souza;V;BRA;N;38;E;S;Mar;Con;0
Diogo Mora;M;BRA;N;24;E;N;Pas;Agi;0
Léo Gomes;M;BRA;N;29;D;N;Pas;Res;0
Élvis;M;BRA;N;35;D;S;Arm;Vis;0
Daniel Baianinho;P;BRA;N;26;D;N;Dri;Agi;0
David da Hora;P;BRA;N;26;D;S;Dri;Vel;0
Jonathan Cafu;P;BRA;N;35;D;N;Cru;Vel;0
Brandão;A;BRA;N;22;D;N;Cab;For;0
Vitor Ribeiro;A;BRA;N;27;D;N;Fin;For;0
