Muglaspor;TUR;61;Muğla Atatürk;Yalçın Koşukavak;TUR;007A33;FFFFFF;7500
Batıhan Gebecelioğlu;G;TUR;N;22;D;N;Sgo;Con;0
Canberk Aydemir;G;TUR;N;23;D;N;Ref;Fle;0
Ekrem Kılıçarslan;G;TUR;N;28;D;S;Ref;Imp;0
Ali Barak;L;TUR;N;23;E;S;Pas;Vel;0
Batuhan Yılmaz;L;TUR;N;22;D;N;Pos;Res;0
Bilal Ceylan;L;TUR;N;22;D;N;Des;Vel;0
Alihan Kazmaz;Z;TUR;N;22;E;N;Des;Vel;0
Luis Mago;Z;VEN;N;31;E;S;Cab;Imp;0
Yiğit Fidan;Z;TUR;N;21;D;N;Des;For;0
Abdullah Balıkçı;V;TUR;N;29;D;S;Chu;Vis;0
Ali Kaan Güneren;V;TUR;N;26;D;N;Pas;Vis;0
Jurgen Çelhaka;V;ALB;N;25;D;N;Pas;Vis;0
Orhan Nahırcı;V;TUR;N;26;D;N;Pas;Agi;0
Baran Ekiz;M;TUR;N;20;D;N;Pas;Res;0
Buluthan Bulut;M;TUR;N;24;D;N;Pas;Cri;0
Cebrail İrtürk;M;TUR;N;21;D;N;Pas;Res;0
Daniel Avramovski;M;MKD;N;31;E;S;Pas;Vis;0
Oguzhan Özlesen;M;AUT;N;24;A;N;Pas;Agi;0
Selim Dilli;M;TUR;N;28;E;N;Arm;Vis;0
Yiğitali Bayrak;M;TUR;N;30;A;S;Pas;Res;0
Ahmet Engin;P;TUR;N;30;D;S;Pas;Ace;0
Driton Camaj;P;MNE;N;29;D;S;Pas;Vel;0
Emre Şimşek;P;TUR;N;20;D;N;Pas;Res;0
Mamady Diarra;P;MLI;N;26;E;N;Pas;Vel;0
Ozan Sol;P;TUR;N;33;D;S;Pas;Ace;0
Salem Bouajila;P;TUN;N;19;E;N;Pas;Res;0
Ibrahim Sissoko;A;MLI;N;30;D;N;Cab;For;0
İsa Güler;A;TUR;N;27;D;S;Pas;Res;0
Poyraz Yıldırım;A;TUR;N;21;E;N;Pas;Vel;0
Yasin Uzunoğlu;A;TUR;N;23;D;N;Cab;Res;0
